t,v,k,N,Source
2,2,3,4.0,"Kleitman and Spencer, or Katona"
2,2,4,5.0,"Kleitman and Spencer, or Katona"
2,2,10,6.0,"Kleitman and Spencer, or Katona"
2,2,15,7.0,"Kleitman and Spencer, or Katona"
2,2,35,8.0,"Kleitman and Spencer, or Katona"
2,2,56,9.0,"Kleitman and Spencer, or Katona"
2,2,126,10.0,"Kleitman and Spencer, or Katona"
2,2,210,11.0,"Kleitman and Spencer, or Katona"
2,2,462,12.0,"Kleitman and Spencer, or Katona"
2,2,792,13.0,"Kleitman and Spencer, or Katona"
2,2,1716,14.0,"Kleitman and Spencer, or Katona"
2,2,3003,15.0,"Kleitman and Spencer, or Katona"
2,2,6435,16.0,"Kleitman and Spencer, or Katona"
2,2,11440,17.0,"Kleitman and Spencer, or Katona"
2,2,20000,18.0,"Kleitman and Spencer, or Katona"
3,2,4,8.0,orthogonal array
3,2,5,10.0,Derive from strength 4
3,2,11,12.0,Derive from strength 4
3,2,12,15.0,tabu search (Nurmela)
3,2,14,16.0,Sloane
3,2,16,17.0,Derive from strength 4
3,2,20,18.0,Chateauneuf-Kreher doubling
3,2,22,19.0,Chateauneuf-Kreher doubling
3,2,23,20.0,simulated annealing (TJ-RT)
3,2,25,21.0,simulated annealing (TJ-RT)
3,2,26,22.0,simulated annealing (TJ-RT)
3,2,30,23.0,simulated annealing (TJ-RT)
3,2,38,24.0,simulated annealing (TJ-RT)
3,2,44,25.0,simulated annealing (TJ-RT)
3,2,46,26.0,simulated annealing (TJ-RT)
3,2,49,27.0,simulated annealing (TJ-RT)
3,2,52,28.0,simulated annealing (TJ-RT)
3,2,55,29.0,SBSTT (TJ-AG)
3,2,57,30.0,SBSTT (TJ-AG)
3,2,68,31.0,simulated annealing (TJ-RT)
3,2,88,32.0,"Power CT11^2,T3c"
3,2,121,33.0,Power CT11^2
3,2,123,35.0,simulated annealing (TJ-RT)
3,2,127,36.0,simulated annealing (TJ-RT)
3,2,140,37.0,simulated annealing (TJ-RT)
3,2,142,39.0,SBSTT (TJ-AG)
3,2,146,40.0,SBSTT (TJ-AG)
3,2,163,41.0,SBSTT (TJ-AG)
3,2,180,42.0,SBSTT (TJ-AG)
3,2,242,43.0,simulated annealing (TJ-RT)
3,2,243,44.0,simulated annealing (TJ-RT)
3,2,246,45.0,simulated annealing (TJ-RT)
3,2,256,46.0,simulated annealing (TJ-RT)
3,2,262,47.0,simulated annealing (TJ-RT)
3,2,280,48.0,simulated annealing (TJ-RT)
3,2,352,49.0,Power CT11^3T7T3c
3,2,484,50.0,"Power CT11^3,T7c"
3,2,605,52.0,"Power CT11^3,T6c"
3,2,704,53.0,Power CT11^3T3T3c
3,2,968,54.0,"Power CT11^3,T3c"
3,2,1331,55.0,Power CT11^3
3,2,1332,59.0,Add a factor
3,2,1452,61.0,"Power CT12^3,cT1T1"
3,2,1584,64.0,"Power CT12^3,cT1"
3,2,1712,66.0,simulated annealing (TJ-RT)
3,2,1936,67.0,Power CT11^4T7T7c
3,2,2662,68.0,"Power CT11^4,cT9c"
3,2,2816,70.0,Power CT11^4T3cT3cT7c
3,2,3872,71.0,Power CT11^4T7T3c
3,2,5324,72.0,"Power CT11^4,T7c"
3,2,6655,74.0,"Power CT11^4,T6c"
3,2,7744,75.0,Power CT11^4T3T3c
3,2,10000,76.0,"Power CT11^4,T3c"
4,2,5,16.0,Derive from strength 5
4,2,6,21.0,Derive from strength 5
4,2,12,24.0,Cyclotomy (Colbourn)
4,2,13,32.0,Derive from strength 5
4,2,17,35.0,simulated annealing (TJ-RT)
4,2,18,36.0,simulated annealing (TJ-RT)
4,2,20,39.0,Hadamard (Colbourn-Keri) postop NCK
4,2,21,42.0,Cyclic (Colbourn-Keri)
4,2,22,44.0,Cyclic (Colbourn-Keri)
