"id","t","k","v","engine","seed","N0","best_known","N_final","covered","secs"
"nist_t2_k10_v3",2,10,3,"hers",1,19,14,15,TRUE,29.76
"nist_t2_k10_v3",2,10,3,"ours",1,19,14,15,TRUE,0.17
"nist_t2_k10_v3",2,10,3,"ours",2,19,14,15,TRUE,0.27
"nist_t2_k10_v3",2,10,3,"ours",3,19,14,15,TRUE,0.28
"nist_t2_k10_v3",2,10,3,"ours",4,19,14,15,TRUE,0.27
"nist_t2_k10_v3",2,10,3,"ours",5,19,14,15,TRUE,0.21
"nist_t2_k10_v3",2,10,3,"ours",6,19,14,15,TRUE,0.23
"nist_t2_k10_v3",2,10,3,"ours",7,19,14,15,TRUE,0.18
"nist_t2_k10_v3",2,10,3,"ours",8,19,14,15,TRUE,0.17
"nist_t2_k10_v3",2,10,3,"ours",9,19,14,15,TRUE,0.17
"nist_t2_k10_v3",2,10,3,"ours",10,19,14,15,TRUE,0.17
"nist_t2_k10_v3",2,10,3,"ours",11,19,14,15,TRUE,0.15
"nist_t2_k10_v3",2,10,3,"ours",12,19,14,16,TRUE,0.2
"nist_t2_k10_v3",2,10,3,"ours",13,19,14,15,TRUE,0.21
"nist_t2_k10_v3",2,10,3,"ours",14,19,14,15,TRUE,0.18
"nist_t2_k10_v3",2,10,3,"ours",15,19,14,15,TRUE,0.28
"nist_t2_k10_v3",2,10,3,"ours",16,19,14,15,TRUE,0.17
"nist_t2_k10_v3",2,10,3,"ours",17,19,14,15,TRUE,0.31
"nist_t2_k10_v3",2,10,3,"ours",18,19,14,15,TRUE,0.18
"nist_t2_k10_v3",2,10,3,"ours",19,19,14,15,TRUE,0.17
"nist_t2_k10_v3",2,10,3,"ours",20,19,14,15,TRUE,0.2
"nist_t2_k10_v3",2,10,3,"hers",2,19,14,15,TRUE,53.83
"nist_t2_k10_v3",2,10,3,"hers",3,19,14,15,TRUE,40.81
"nist_t2_k10_v3",2,10,3,"hers",4,19,14,15,TRUE,34.83
"nist_t2_k10_v3",2,10,3,"hers",5,19,14,16,TRUE,38.51
"nist_t3_k10_v2",3,10,2,"ours",1,18,12,15,TRUE,0.2
"nist_t3_k10_v2",3,10,2,"ours",2,18,12,12,TRUE,0.2
"nist_t3_k10_v2",3,10,2,"ours",3,18,12,16,TRUE,0.16
"nist_t3_k10_v2",3,10,2,"ours",4,18,12,12,TRUE,0.16
"nist_t3_k10_v2",3,10,2,"ours",5,18,12,15,TRUE,0.28
"nist_t3_k10_v2",3,10,2,"ours",6,18,12,15,TRUE,0.2
"nist_t3_k10_v2",3,10,2,"ours",7,18,12,12,TRUE,0.22
"nist_t3_k10_v2",3,10,2,"ours",8,18,12,16,TRUE,0.18
"nist_t3_k10_v2",3,10,2,"ours",9,18,12,16,TRUE,0.18
"nist_t3_k10_v2",3,10,2,"ours",10,18,12,12,TRUE,0.19
"nist_t3_k10_v2",3,10,2,"ours",11,18,12,16,TRUE,0.18
"nist_t3_k10_v2",3,10,2,"ours",12,18,12,12,TRUE,0.19
"nist_t3_k10_v2",3,10,2,"ours",13,18,12,14,TRUE,0.28
"nist_t3_k10_v2",3,10,2,"ours",14,18,12,12,TRUE,0.19
"nist_t3_k10_v2",3,10,2,"ours",15,18,12,12,TRUE,0.18
"nist_t3_k10_v2",3,10,2,"ours",16,18,12,16,TRUE,0.17
"nist_t3_k10_v2",3,10,2,"ours",17,18,12,16,TRUE,0.19
"nist_t3_k10_v2",3,10,2,"ours",18,18,12,12,TRUE,0.18
"nist_t3_k10_v2",3,10,2,"ours",19,18,12,16,TRUE,0.19
"nist_t3_k10_v2",3,10,2,"ours",20,18,12,16,TRUE,0.17
"nist_t3_k10_v2",3,10,2,"hers",1,18,12,16,TRUE,90.38
"nist_t3_k10_v2",3,10,2,"hers",2,18,12,16,TRUE,74.02
"nist_t3_k10_v2",3,10,2,"hers",3,18,12,14,TRUE,94.31
"nist_t3_k10_v2",3,10,2,"hers",4,18,12,16,TRUE,116.52
"nist_t3_k10_v2",3,10,2,"hers",5,18,12,12,TRUE,79.58
"nist_t2_k15_v3",2,15,3,"ours",1,20,15,18,TRUE,0.25
"nist_t2_k15_v3",2,15,3,"ours",2,20,15,17,TRUE,0.24
"nist_t2_k15_v3",2,15,3,"ours",3,20,15,17,TRUE,0.22
"nist_t2_k15_v3",2,15,3,"ours",4,20,15,17,TRUE,0.28
"nist_t2_k15_v3",2,15,3,"ours",5,20,15,17,TRUE,0.26
"nist_t2_k15_v3",2,15,3,"ours",6,20,15,17,TRUE,0.34
"nist_t2_k15_v3",2,15,3,"ours",7,20,15,18,TRUE,0.27
"nist_t2_k15_v3",2,15,3,"ours",8,20,15,18,TRUE,0.25
"nist_t2_k15_v3",2,15,3,"ours",9,20,15,18,TRUE,0.26
"nist_t2_k15_v3",2,15,3,"ours",10,20,15,17,TRUE,0.25
"nist_t2_k15_v3",2,15,3,"ours",11,20,15,17,TRUE,0.37
"nist_t2_k15_v3",2,15,3,"ours",12,20,15,18,TRUE,0.27
"nist_t2_k15_v3",2,15,3,"ours",13,20,15,17,TRUE,0.36
"nist_t2_k15_v3",2,15,3,"ours",14,20,15,17,TRUE,0.26
"nist_t2_k15_v3",2,15,3,"ours",15,20,15,18,TRUE,0.25
"nist_t2_k15_v3",2,15,3,"ours",16,20,15,18,TRUE,0.25
"nist_t2_k15_v3",2,15,3,"ours",17,20,15,18,TRUE,0.26
"nist_t2_k15_v3",2,15,3,"ours",18,20,15,17,TRUE,0.31
"nist_t2_k15_v3",2,15,3,"ours",19,20,15,17,TRUE,0.3
"nist_t2_k15_v3",2,15,3,"ours",20,20,15,17,TRUE,0.26
"nist_t2_k15_v3",2,15,3,"hers",1,20,15,17,TRUE,103.43
"nist_t2_k15_v3",2,15,3,"hers",2,20,15,17,TRUE,153.22
"nist_t2_k15_v3",2,15,3,"hers",3,20,15,17,TRUE,104.22
"nist_t2_k15_v3",2,15,3,"hers",4,20,15,17,TRUE,97.07
"nist_t2_k15_v3",2,15,3,"hers",5,20,15,17,TRUE,104.52
"nist_t2_k10_v4",2,10,4,"ours",1,29,24,27,TRUE,0.26
"nist_t2_k10_v4",2,10,4,"ours",2,29,24,27,TRUE,0.29
"nist_t2_k10_v4",2,10,4,"ours",3,29,24,26,TRUE,0.19
"nist_t2_k10_v4",2,10,4,"ours",4,29,24,27,TRUE,0.24
"nist_t2_k10_v4",2,10,4,"ours",5,29,24,27,TRUE,0.22
"nist_t2_k10_v4",2,10,4,"ours",6,29,24,27,TRUE,0.22
"nist_t2_k10_v4",2,10,4,"ours",7,29,24,27,TRUE,0.22
"nist_t2_k10_v4",2,10,4,"ours",8,29,24,27,TRUE,0.25
"nist_t2_k10_v4",2,10,4,"ours",9,29,24,26,TRUE,0.29
"nist_t2_k10_v4",2,10,4,"ours",10,29,24,27,TRUE,0.19
"nist_t2_k10_v4",2,10,4,"ours",11,29,24,27,TRUE,0.18
"nist_t2_k10_v4",2,10,4,"ours",12,29,24,27,TRUE,0.19
"nist_t2_k10_v4",2,10,4,"ours",13,29,24,26,TRUE,0.3
"nist_t2_k10_v4",2,10,4,"ours",14,29,24,27,TRUE,0.22
"nist_t2_k10_v4",2,10,4,"ours",15,29,24,26,TRUE,0.23
"nist_t2_k10_v4",2,10,4,"ours",16,29,24,27,TRUE,0.21
"nist_t2_k10_v4",2,10,4,"ours",17,29,24,27,TRUE,0.29
"nist_t2_k10_v4",2,10,4,"ours",18,29,24,27,TRUE,0.21
"nist_t2_k10_v4",2,10,4,"ours",19,29,24,27,TRUE,0.36
"nist_t2_k10_v4",2,10,4,"ours",20,29,24,27,TRUE,0.3
"nist_t2_k10_v4",2,10,4,"hers",1,29,24,26,TRUE,70.93
"nist_t2_k10_v4",2,10,4,"hers",2,29,24,27,TRUE,61.81
"nist_t2_k10_v4",2,10,4,"hers",3,29,24,27,TRUE,71.77
"nist_t2_k10_v4",2,10,4,"hers",4,29,24,27,TRUE,70.9
"nist_t2_k10_v4",2,10,4,"hers",5,29,24,27,TRUE,62.48
"nist_t2_k20_v3",2,20,3,"ours",1,21,15,19,TRUE,0.26
"nist_t2_k20_v3",2,20,3,"ours",2,21,15,19,TRUE,0.42
"nist_t2_k20_v3",2,20,3,"ours",3,21,15,19,TRUE,0.35
"nist_t2_k20_v3",2,20,3,"ours",4,21,15,19,TRUE,0.33
"nist_t2_k20_v3",2,20,3,"ours",5,21,15,19,TRUE,0.43
"nist_t2_k20_v3",2,20,3,"ours",6,21,15,20,TRUE,0.31
"nist_t2_k20_v3",2,20,3,"ours",7,21,15,19,TRUE,0.25
"nist_t2_k20_v3",2,20,3,"ours",8,21,15,19,TRUE,0.25
"nist_t2_k20_v3",2,20,3,"ours",9,21,15,19,TRUE,0.3
"nist_t2_k20_v3",2,20,3,"ours",10,21,15,19,TRUE,0.42
"nist_t2_k20_v3",2,20,3,"ours",11,21,15,19,TRUE,0.5
"nist_t2_k20_v3",2,20,3,"ours",12,21,15,19,TRUE,0.3
"nist_t2_k20_v3",2,20,3,"ours",13,21,15,19,TRUE,0.25
"nist_t2_k20_v3",2,20,3,"ours",14,21,15,19,TRUE,0.26
"nist_t2_k20_v3",2,20,3,"ours",15,21,15,20,TRUE,0.32
"nist_t2_k20_v3",2,20,3,"ours",16,21,15,19,TRUE,0.29
"nist_t2_k20_v3",2,20,3,"ours",17,21,15,19,TRUE,0.28
"nist_t2_k20_v3",2,20,3,"ours",18,21,15,19,TRUE,0.37
"nist_t2_k20_v3",2,20,3,"ours",19,21,15,19,TRUE,0.44
"nist_t2_k20_v3",2,20,3,"ours",20,21,15,19,TRUE,0.46
"nist_t2_k20_v3",2,20,3,"hers",1,21,15,19,TRUE,249.83
"nist_t2_k20_v3",2,20,3,"hers",2,21,15,19,TRUE,218.48
"nist_t2_k20_v3",2,20,3,"hers",3,21,15,19,TRUE,207.8
"nist_t2_k20_v3",2,20,3,"hers",4,21,15,18,TRUE,238.39
"nist_t2_k20_v3",2,20,3,"hers",5,21,15,19,TRUE,204.06
"nist_t2_k15_v4",2,15,4,"ours",1,34,26,30,TRUE,0.29
"nist_t2_k15_v4",2,15,4,"ours",2,34,26,31,TRUE,0.34
"nist_t2_k15_v4",2,15,4,"ours",3,34,26,30,TRUE,0.38
"nist_t2_k15_v4",2,15,4,"ours",4,34,26,31,TRUE,0.29
"nist_t2_k15_v4",2,15,4,"ours",5,34,26,30,TRUE,0.36
"nist_t2_k15_v4",2,15,4,"ours",6,34,26,31,TRUE,0.28
"nist_t2_k15_v4",2,15,4,"ours",7,34,26,32,TRUE,0.28
"nist_t2_k15_v4",2,15,4,"ours",8,34,26,31,TRUE,0.36
"nist_t2_k15_v4",2,15,4,"ours",9,34,26,31,TRUE,0.27
"nist_t2_k15_v4",2,15,4,"ours",10,34,26,31,TRUE,0.28
"nist_t2_k15_v4",2,15,4,"ours",11,34,26,31,TRUE,0.38
"nist_t2_k15_v4",2,15,4,"ours",12,34,26,31,TRUE,0.27
"nist_t2_k15_v4",2,15,4,"ours",13,34,26,30,TRUE,0.42
"nist_t2_k15_v4",2,15,4,"ours",14,34,26,32,TRUE,0.28
"nist_t2_k15_v4",2,15,4,"ours",15,34,26,31,TRUE,0.28
"nist_t2_k15_v4",2,15,4,"ours",16,34,26,31,TRUE,0.37
"nist_t2_k15_v4",2,15,4,"ours",17,34,26,31,TRUE,0.37
"nist_t2_k15_v4",2,15,4,"ours",18,34,26,31,TRUE,0.31
"nist_t2_k15_v4",2,15,4,"ours",19,34,26,31,TRUE,0.26
"nist_t2_k15_v4",2,15,4,"ours",20,34,26,31,TRUE,0.26
"nist_t2_k15_v4",2,15,4,"hers",1,34,26,30,TRUE,283.86
"nist_t2_k15_v4",2,15,4,"hers",2,34,26,31,TRUE,241.31
"nist_t2_k15_v4",2,15,4,"hers",3,34,26,31,TRUE,226.19
"nist_t2_k15_v4",2,15,4,"hers",4,34,26,31,TRUE,237.41
"nist_t2_k15_v4",2,15,4,"hers",5,34,26,30,TRUE,241.31
"nist_t3_k15_v2",3,15,2,"ours",1,21,17,19,TRUE,0.39
"nist_t3_k15_v2",3,15,2,"ours",2,21,17,19,TRUE,0.27
"nist_t3_k15_v2",3,15,2,"ours",3,21,17,19,TRUE,0.24
"nist_t3_k15_v2",3,15,2,"ours",4,21,17,19,TRUE,0.4
"nist_t3_k15_v2",3,15,2,"ours",5,21,17,19,TRUE,0.24
"nist_t3_k15_v2",3,15,2,"ours",6,21,17,19,TRUE,0.22
"nist_t3_k15_v2",3,15,2,"ours",7,21,17,18,TRUE,0.4
"nist_t3_k15_v2",3,15,2,"ours",8,21,17,18,TRUE,0.32
"nist_t3_k15_v2",3,15,2,"ours",9,21,17,19,TRUE,0.44
"nist_t3_k15_v2",3,15,2,"ours",10,21,17,18,TRUE,0.36
"nist_t3_k15_v2",3,15,2,"ours",11,21,17,20,TRUE,0.31
"nist_t3_k15_v2",3,15,2,"ours",12,21,17,19,TRUE,0.24
"nist_t3_k15_v2",3,15,2,"ours",13,21,17,19,TRUE,0.23
"nist_t3_k15_v2",3,15,2,"ours",14,21,17,19,TRUE,0.28
"nist_t3_k15_v2",3,15,2,"ours",15,21,17,19,TRUE,0.24
"nist_t3_k15_v2",3,15,2,"ours",16,21,17,19,TRUE,0.24
"nist_t3_k15_v2",3,15,2,"ours",17,21,17,19,TRUE,0.4
"nist_t3_k15_v2",3,15,2,"ours",18,21,17,19,TRUE,0.32
"nist_t3_k15_v2",3,15,2,"ours",19,21,17,19,TRUE,0.25
"nist_t3_k15_v2",3,15,2,"ours",20,21,17,19,TRUE,0.25
"nist_t3_k15_v2",3,15,2,"hers",1,21,17,19,TRUE,510.38
"nist_t3_k15_v2",3,15,2,"hers",2,21,17,18,TRUE,375.79
"nist_t3_k15_v2",3,15,2,"hers",3,21,17,19,TRUE,449.2
"nist_t3_k15_v2",3,15,2,"hers",4,21,17,19,TRUE,519.86
"nist_t3_k15_v2",3,15,2,"hers",5,21,17,19,TRUE,456.29
"nist_t2_k20_v4",2,20,4,"ours",1,37,28,34,TRUE,0.35
"nist_t2_k20_v4",2,20,4,"ours",2,37,28,35,TRUE,0.35
"nist_t2_k20_v4",2,20,4,"ours",3,37,28,34,TRUE,0.33
"nist_t2_k20_v4",2,20,4,"ours",4,37,28,35,TRUE,0.33
"nist_t2_k20_v4",2,20,4,"ours",5,37,28,34,TRUE,0.41
"nist_t2_k20_v4",2,20,4,"ours",6,37,28,34,TRUE,0.31
"nist_t2_k20_v4",2,20,4,"ours",7,37,28,34,TRUE,0.41
"nist_t2_k20_v4",2,20,4,"ours",8,37,28,34,TRUE,0.34
"nist_t2_k20_v4",2,20,4,"ours",9,37,28,34,TRUE,0.36
"nist_t2_k20_v4",2,20,4,"ours",10,37,28,34,TRUE,0.32
"nist_t2_k20_v4",2,20,4,"ours",11,37,28,34,TRUE,0.47
"nist_t2_k20_v4",2,20,4,"ours",12,37,28,34,TRUE,0.52
"nist_t2_k20_v4",2,20,4,"ours",13,37,28,35,TRUE,0.37
"nist_t2_k20_v4",2,20,4,"ours",14,37,28,33,TRUE,0.46
"nist_t2_k20_v4",2,20,4,"ours",15,37,28,35,TRUE,0.35
"nist_t2_k20_v4",2,20,4,"ours",16,37,28,34,TRUE,0.35
"nist_t2_k20_v4",2,20,4,"ours",17,37,28,34,TRUE,0.32
"nist_t2_k20_v4",2,20,4,"ours",18,37,28,34,TRUE,0.54
"nist_t2_k20_v4",2,20,4,"ours",19,37,28,34,TRUE,0.36
"nist_t2_k20_v4",2,20,4,"ours",20,37,28,34,TRUE,0.48
"nist_t2_k20_v4",2,20,4,"hers",1,37,28,34,TRUE,612.28
"nist_t2_k20_v4",2,20,4,"hers",2,37,28,34,TRUE,532.05
"nist_t2_k20_v4",2,20,4,"hers",3,37,28,34,TRUE,529.55
"nist_t2_k20_v4",2,20,4,"hers",4,37,28,34,TRUE,490.67
"nist_t2_k20_v4",2,20,4,"hers",5,37,28,34,TRUE,549.64
"nist_t2_k15_v5",2,15,5,"ours",1,51,40,47,TRUE,0.31
"nist_t2_k15_v5",2,15,5,"ours",2,51,40,48,TRUE,0.38
"nist_t2_k15_v5",2,15,5,"ours",3,51,40,47,TRUE,0.28
"nist_t2_k15_v5",2,15,5,"ours",4,51,40,47,TRUE,0.38
"nist_t2_k15_v5",2,15,5,"ours",5,51,40,48,TRUE,0.36
"nist_t2_k15_v5",2,15,5,"ours",6,51,40,48,TRUE,0.83
"nist_t2_k15_v5",2,15,5,"ours",7,51,40,48,TRUE,0.75
"nist_t2_k15_v5",2,15,5,"ours",8,51,40,48,TRUE,0.96
"nist_t2_k15_v5",2,15,5,"ours",9,51,40,47,TRUE,0.94
"nist_t2_k15_v5",2,15,5,"ours",10,51,40,47,TRUE,1
