"child_t","child_v","child_k","child_N","child_Source","family","ing_t","ing_w","ing_v","ing_range","mult","ing_N_now","ing_k_now","confidence","stamp_date"
4,2,1332,200,"Power CT11^3,+1c","Power CT",4,12,2,FALSE,1,24,12,"ARITHMETIC","2026-09-06"
4,2,10000,288,"Power CT13^4S13c","Power CT",4,12,2,FALSE,13,24,12,"ARITHMETIC","2026-09-06"
4,2,10000,288,"Power CT13^4S13c","Power CT",4,13,2,FALSE,1,32,13,"ARITHMETIC","2026-09-06"
5,2,1230,615,"Derive from strength 6","Derive",6,1231,2,FALSE,1,1231,1231,"ARITHMETIC","2026-09-06"
5,2,1282,641,"Derive from strength 6","Derive",6,1283,2,FALSE,1,1283,1283,"ARITHMETIC","2026-09-06"
5,2,1318,659,"Derive from strength 6","Derive",6,1319,2,FALSE,1,1319,1319,"ARITHMETIC","2026-09-06"
5,2,1360,680,"Derive from strength 6","Derive",6,1361,2,FALSE,1,1361,1361,"ARITHMETIC","2026-09-06"
5,2,1366,683,"Derive from strength 6","Derive",6,1367,2,FALSE,1,1367,1367,"ARITHMETIC","2026-09-06"
5,2,1372,686,"Derive from strength 6","Derive",6,1373,2,FALSE,1,1373,1373,"ARITHMETIC","2026-09-06"
5,2,1380,690,"Derive from strength 6","Derive",6,1381,2,FALSE,1,1381,1381,"ARITHMETIC","2026-09-06"
5,2,1422,711,"Derive from strength 6","Derive",6,1423,2,FALSE,1,1423,1423,"ARITHMETIC","2026-09-06"
5,2,1426,713,"Derive from strength 6","Derive",6,1427,2,FALSE,1,1427,1427,"ARITHMETIC","2026-09-06"
5,2,1428,714,"Derive from strength 6","Derive",6,1429,2,FALSE,1,1429,1429,"ARITHMETIC","2026-09-06"
5,2,1438,719,"Derive from strength 6","Derive",6,1439,2,FALSE,1,1439,1439,"ARITHMETIC","2026-09-06"
5,2,1446,723,"Derive from strength 6","Derive",6,1447,2,FALSE,1,1447,1447,"ARITHMETIC","2026-09-06"
5,2,1458,729,"Derive from strength 6","Derive",6,1459,2,FALSE,1,1459,1459,"ARITHMETIC","2026-09-06"
5,2,1482,741,"Derive from strength 6","Derive",6,1483,2,FALSE,1,1483,1483,"ARITHMETIC","2026-09-06"
5,2,1486,743,"Derive from strength 6","Derive",6,1487,2,FALSE,1,1487,1487,"ARITHMETIC","2026-09-06"
5,2,1492,746,"Derive from strength 6","Derive",6,1493,2,FALSE,1,1493,1493,"ARITHMETIC","2026-09-06"
5,2,1498,749,"Derive from strength 6","Derive",6,1499,2,FALSE,1,1499,1499,"ARITHMETIC","2026-09-06"
5,2,1510,755,"Derive from strength 6","Derive",6,1511,2,FALSE,1,1511,1511,"ARITHMETIC","2026-09-06"
5,2,1522,761,"Derive from strength 6","Derive",6,1523,2,FALSE,1,1523,1523,"ARITHMETIC","2026-09-06"
5,2,1548,774,"Derive from strength 6","Derive",6,1549,2,FALSE,1,1549,1549,"ARITHMETIC","2026-09-06"
5,2,1558,779,"Derive from strength 6","Derive",6,1559,2,FALSE,1,1559,1559,"ARITHMETIC","2026-09-06"
5,2,1566,783,"Derive from strength 6","Derive",6,1567,2,FALSE,1,1567,1567,"ARITHMETIC","2026-09-06"
5,2,1570,785,"Derive from strength 6","Derive",6,1571,2,FALSE,1,1571,1571,"ARITHMETIC","2026-09-06"
5,2,1578,789,"Derive from strength 6","Derive",6,1579,2,FALSE,1,1579,1579,"ARITHMETIC","2026-09-06"
5,2,1582,791,"Derive from strength 6","Derive",6,1583,2,FALSE,1,1583,1583,"ARITHMETIC","2026-09-06"
5,2,2198,819,"Power CT13^3+1","Power CT",5,14,2,FALSE,1,64,14,"ARITHMETIC","2026-09-06"
5,2,2380,938,"Power CT68^2,cT33c","Power CT",5,35,2,FALSE,1,134,35,"ARITHMETIC","2026-09-06"
5,2,2380,938,"Power CT68^2,cT33c","Power CT",5,68,2,FALSE,1,136,68,"ARITHMETIC","2026-09-06"
5,2,4624,940,"Power CT68^2,c","Power CT",5,68,2,FALSE,1,136,68,"ARITHMETIC","2026-09-06"
5,2,4896,988,"Power CT72^2,cT4c","Power CT",5,68,2,FALSE,1,136,68,"ARITHMETIC","2026-09-06"
5,2,4896,988,"Power CT72^2,cT4c","Power CT",5,72,2,FALSE,1,144,72,"ARITHMETIC","2026-09-06"
5,2,5184,996,"Power CT72^2,c","Power CT",5,72,2,FALSE,1,144,72,"ARITHMETIC","2026-09-06"
5,2,5440,1078,"Power CT80^2,cT12c","Power CT",5,68,2,FALSE,1,136,68,"ARITHMETIC","2026-09-06"
5,2,5440,1078,"Power CT80^2,cT12c","Power CT",5,80,2,FALSE,1,159,80,"ARITHMETIC","2026-09-06"
5,2,5760,1086,"Power CT80^2,cT8c","Power CT",5,72,2,FALSE,1,144,72,"ARITHMETIC","2026-09-06"
5,2,5760,1086,"Power CT80^2,cT8c","Power CT",5,80,2,FALSE,1,159,80,"ARITHMETIC","2026-09-06"
5,2,6400,1101,"Power CT80^2,c","Power CT",5,80,2,FALSE,1,159,80,"ARITHMETIC","2026-09-06"
5,2,6720,1155,"Power CT84^2,cT4c","Power CT",5,80,2,FALSE,1,159,80,"ARITHMETIC","2026-09-06"
5,2,6720,1155,"Power CT84^2,cT4c","Power CT",5,84,2,FALSE,1,168,84,"ARITHMETIC","2026-09-06"
