"key","tier","family"
"3 2 1332 Add a factor","ARITHMETIC","Add a factor"
"3 3 4097 Add a factor","ARITHMETIC","Add a factor"
"4 3 4713 Add a factor","ARITHMETIC","Add a factor"
"4 3 4714 Add a factor","ARITH_BELOW","Add a factor"
"4 3 7013 Add a factor","ARITHMETIC","Add a factor"
"3 6 1856 Add a factor","ARITHMETIC","Add a factor"
"3 7 58 Add a factor","ARITHMETIC","Add a factor"
"4 7 3494 Add a factor","ARITHMETIC","Add a factor"
"4 7 3495 Add a factor","ARITH_BELOW","Add a factor"
"4 8 2813 Add a factor","ARITHMETIC","Add a factor"
"4 8 2814 Add a factor","ARITH_BELOW","Add a factor"
"3 9 92 Add a factor","ARITHMETIC","Add a factor"
"4 9 2634 Add a factor","ARITHMETIC","Add a factor"
"4 9 2635 Add a factor","ARITH_BELOW","Add a factor"
"3 10 134 Add a factor","ARITHMETIC","Add a factor"
"4 10 2596 Add a factor","ARITHMETIC","Add a factor"
"4 10 2597 Add a factor","ARITH_BELOW","Add a factor"
"3 11 134 Add a factor","ARITHMETIC","Add a factor"
"4 11 2596 Add a factor","ARITHMETIC","Add a factor"
"4 11 2597 Add a factor","ARITH_BELOW","Add a factor"
"3 12 184 Add a factor","ARITHMETIC","Add a factor"
"4 12 3113 Add a factor","ARITHMETIC","Add a factor"
"4 12 3114 Add a factor","ARITH_BELOW","Add a factor"
"3 13 184 Add a factor","ARITHMETIC","Add a factor"
"4 13 3113 Add a factor","ARITHMETIC","Add a factor"
"3 17 382 Add a factor","ARITHMETIC","Add a factor"
"3 18 382 Add a factor","ARITHMETIC","Add a factor"
"3 19 382 Add a factor","ARITHMETIC","Add a factor"
"4 20 2807 Add a factor","ARITHMETIC","Add a factor"
"4 21 2807 Add a factor","ARITHMETIC","Add a factor"
"4 22 2807 Add a factor","ARITHMETIC","Add a factor"
"4 2 338 Torres-Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"4 2 354 Torres-Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 3 14 Cover starter (Colbourn, Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 3 16 Cover starter (Colbourn, Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 3 17 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 3 46 Cover starter (Colbourn, Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 3 47 Cover starter (Colbourn, Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 3 48 Cover starter (Colbourn, Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 3 49 Cover starter (Colbourn, Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 3 12 Torres-Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"4 3 13 Torres-Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"4 3 433 Cyclotomy shift (AG+TJ+H)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 3 487 Cyclotomy shift (AG+TJ+H)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 3 499 Cyclotomy mult (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"4 3 523 Cyclotomy shift (AG+TJ+H)","TERMINAL_CLAIMED","terminal (search or published array)"
"5 3 2659 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"5 3 2671 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"5 3 2683 Cyclotomy shift (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"6 3 8 Torres-Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"2 4 9 Fix 2 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"3 4 10 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 4 11 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 4 12 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 4 18 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 4 21 Raaphorst-Moura-Stevens","TERMINAL_CLAIMED","terminal (search or published array)"
"3 4 76 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"2 5 21 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 5 7 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 5 31 Raaphorst-Moura-Stevens","TERMINAL_CLAIMED","terminal (search or published array)"
"3 5 82 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"5 5 7 Ji-Li-Yin","TERMINAL_CLAIMED","terminal (search or published array)"
"2 6 13 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 6 18 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 6 19 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 6 20 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 6 22 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 6 23 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 6 24 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 6 26 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 6 28 cover starter (Colbourn,Torres-Jimenez)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 6 7 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 6 8 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 6 9 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 6 10 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 6 11 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 6 13 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 6 17 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"3 6 18 Torres Jimenez","TERMINAL_CLAIMED","terminal (search or published array)"
"4 6 6 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
