"family","t","v","k","N","Source","N_pred","tier"
"terminal (search or published array)",5,2,503,503,"Cyclic, derived (Colbourn-Keri)",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",3,3,22,66,"Cyclic (Colbourn)",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",3,3,23,69,"Cyclic (Colbourn)",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",4,3,55,512,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn) postop NCK",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",4,3,58,522,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn) postop NCK",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",4,3,63,531,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn)",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",4,3,67,548,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn) postop NCK",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",4,3,72,567,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn)",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",5,5,8,5000,"Xu-Ji-Dong",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",6,5,8,25000,"Xu-Ji-Dong",NA,"TERMINAL_CLAIMED"
"Chateauneuf-Kreher doubling",3,6,14,498,"Chateauneuf-Kreher doubling postop NCK",500,"ARITH_BOUND_ONLY"
"Chateauneuf-Kreher doubling",3,6,15,506,"Chateauneuf-Kreher doubling postop NCK",511,"ARITH_BOUND_ONLY"
"Chateauneuf-Kreher doubling",3,6,16,510,"Chateauneuf-Kreher doubling postop NCK",511,"ARITH_BOUND_ONLY"
"terminal (search or published array)",5,6,8,11664,"Xu-Ji-Dong",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",6,6,26,537396,"Two-stage (Sarkar-Colbourn)",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",6,6,27,548781,"Two-stage (Sarkar-Colbourn)",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",2,9,22,126,"Brick by Brick (TATA)",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",2,10,6,102,"Incomplete Transversal Design",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",3,10,5,1050,"Li-Ji-Yin",NA,"TERMINAL_CLAIMED"
"Chateauneuf-Kreher doubling",3,10,21,2334,"Chateauneuf-Kreher doubling postop NCK",2336,"ARITH_BOUND_ONLY"
"Chateauneuf-Kreher doubling",3,10,22,2335,"Chateauneuf-Kreher doubling postop NCK",2336,"ARITH_BOUND_ONLY"
"perfect hash family",6,10,578,103716709,"perfect hash familyD16,578,34^11 17^5",103716709,"ARITHMETIC"
"perfect hash family",6,11,578,103716741,"perfect hash familyD16,578,34^11 17^5",103716741,"ARITHMETIC"
"terminal (search or published array)",2,14,24,306,"double proj (C) postop NCK",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",2,14,50,392,"Holey Transversal Design",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",3,14,5,2842,"Li-Ji-Yin",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",3,14,6,2940,"Ji-Yin",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",3,18,5,5994,"Li-Ji-Yin",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",3,18,6,6156,"Ji-Yin",NA,"TERMINAL_CLAIMED"
"perfect hash family",6,20,1250,7731203353,"perfect hash familyD16,1250,50^11 25^5",7731203353,"ARITHMETIC"
"perfect hash family",6,21,1250,7731203385,"perfect hash familyD16,1250,50^11 25^5",7731203385,"ARITHMETIC"
"terminal (search or published array)",2,22,6,487,"Incomplete Transversal Design",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",2,22,7,506,"Holey Transversal Design",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",3,22,5,10890,"Li-Ji-Yin",NA,"TERMINAL_CLAIMED"
"terminal (search or published array)",3,22,6,11132,"Ji-Yin",NA,"TERMINAL_CLAIMED"
"perfect hash family",6,22,1250,7731203417,"perfect hash familyD16,1250,50^11 25^5",7731203417,"ARITHMETIC"
"perfect hash family",6,23,1250,7731203449,"perfect hash familyD16,1250,50^11 25^5",7731203449,"ARITHMETIC"
"perfect hash family",6,24,1458,12674992453,"perfect hash familyD16,1458,54^11 27^5",12674992453,"ARITHMETIC"
"perfect hash family",6,25,1458,12674992485,"perfect hash familyD16,1458,54^11 27^5",12674992485,"ARITHMETIC"
