"family","t","v","k","N","Source","route","N_pred","tier"
"Colbourn-Martirosyan-TVT-Walker",3,3,588,213,"Colbourn-Martirosyan-TVT-Walker","3.4",213,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",3,3,8100,352,"Colbourn-Martirosyan-TVT-Walker","3.4",352,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",3,3,9408,360,"Colbourn-Martirosyan-TVT-Walker","3.4",360,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",3,3,10000,366,"Colbourn-Martirosyan-TVT-Walker","3.4",366,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",4,3,7164,2601,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,3,7168,2681,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,3,8192,2693,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,3,8194,2729,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,3,8704,2735,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,3,8764,2741,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,3,9216,2821,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,3,9424,2825,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,3,10000,2871,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",3,5,155,529,"Colbourn-Martirosyan-TVT-Walker","3.4",529,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",3,7,315,1519,"Colbourn-Martirosyan-TVT-Walker","3.4",1519,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",3,7,399,1525,"Colbourn-Martirosyan-TVT-Walker","3.4",1525,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",4,7,3542,41887,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,3610,41923,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,4114,42103,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,4130,42139,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,4193,43285,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,4571,44149,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,7014,47347,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,7105,47383,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,7182,47419,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,7245,47455,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,7952,47599,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,8015,49861,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,8169,49897,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,8274,49933,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,8295,49975,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,8428,50011,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,8498,50047,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,9443,50155,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,9513,50197,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,7,10000,50251,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",3,8,512,2304,"Colbourn-Martirosyan-TVT-Walker","3.4",2304,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",3,8,584,2311,"Colbourn-Martirosyan-TVT-Walker","3.4",2311,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",4,8,2888,66144,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,8,2944,66200,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,8,3024,66256,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,8,3928,66298,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,8,4096,69784,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",3,9,675,3321,"Colbourn-Martirosyan-TVT-Walker","3.4",3321,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",3,9,819,3329,"Colbourn-Martirosyan-TVT-Walker","3.4",3329,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",4,9,3051,97465,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,3204,102537,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,3276,103185,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,3357,103377,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,9,3600,106641,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
