"t","v","k","N","Source","generalized","postop","k1","k2","N_gen","N_plain","d_gen","d_plain","arith_tier"
2,5,441,77,"Direct product",FALSE,FALSE,21,21,75,79,2,-2,"ARITH_OPEN"
2,5,2625,97,"Direct product",FALSE,FALSE,6,438,95,99,2,-2,"ARITH_OPEN"
2,5,4620,102,"Direct product",FALSE,FALSE,21,220,100,104,2,-2,"ARITH_OPEN"
2,5,20000,120,"Direct product",FALSE,FALSE,5,4000,120,124,0,-4,"ARITHMETIC"
2,6,94,87,"Direct product generalized",TRUE,FALSE,8,12,89,94,-2,-7,"ARITH_OPEN"
2,6,100,88,"Direct product generalized",TRUE,FALSE,10,10,90,95,-2,-7,"ARITH_OPEN"
2,6,102,89,"Direct product generalized",TRUE,FALSE,8,13,91,96,-2,-7,"ARITH_OPEN"
2,6,110,90,"Direct product generalized",TRUE,FALSE,7,16,93,98,-3,-8,"ARITH_OPEN"
2,6,119,91,"Direct product generalized",TRUE,FALSE,7,17,93,98,-2,-7,"ARITH_OPEN"
2,6,132,92,"Direct product generalized",TRUE,FALSE,8,17,93,98,-1,-6,"ARITH_OPEN"
2,6,145,94,"Direct product generalized",TRUE,FALSE,8,19,95,100,-1,-6,"ARITH_OPEN"
2,6,160,96,"Direct product generalized",TRUE,FALSE,8,20,97,102,-1,-6,"ARITH_OPEN"
2,6,162,97,"Direct product generalized",TRUE,FALSE,9,18,97,102,0,-5,"ARITH_INFERRED"
2,6,174,98,"Direct product generalized",TRUE,FALSE,8,22,99,104,-1,-6,"ARITH_OPEN"
2,6,186,99,"Direct product generalized",TRUE,FALSE,10,19,101,106,-2,-7,"ARITH_OPEN"
2,6,190,100,"Direct product generalized",TRUE,FALSE,10,19,101,106,-1,-6,"ARITH_OPEN"
2,6,198,101,"Direct product generalized",TRUE,FALSE,11,18,102,107,-1,-6,"ARITH_OPEN"
2,6,206,102,"Direct product generalized",TRUE,FALSE,8,26,103,108,-1,-6,"ARITH_OPEN"
2,6,224,103,"Direct product generalized",TRUE,FALSE,8,28,104,109,-1,-6,"ARITH_OPEN"
2,6,245,104,"Direct product generalized",TRUE,FALSE,8,31,106,111,-2,-7,"ARITH_OPEN"
2,6,274,105,"Direct product generalized",TRUE,FALSE,8,35,107,112,-2,-7,"ARITH_OPEN"
2,6,302,106,"Direct product generalized",TRUE,FALSE,17,18,108,113,-2,-7,"ARITH_OPEN"
2,6,322,107,"Direct product generalized",TRUE,FALSE,18,18,108,113,-1,-6,"ARITH_OPEN"
2,6,336,108,"Direct product generalized",TRUE,FALSE,8,42,110,115,-2,-7,"ARITH_OPEN"
2,6,374,109,"Direct product generalized",TRUE,FALSE,6,63,111,116,-2,-7,"ARITH_OPEN"
2,6,394,110,"Direct product generalized",TRUE,FALSE,8,50,111,116,-1,-6,"ARITH_OPEN"
2,6,524,113,"Direct product generalized",TRUE,FALSE,8,66,114,119,-1,-6,"ARITH_OPEN"
2,6,554,114,"Direct product generalized",TRUE,FALSE,8,70,115,120,-1,-6,"ARITH_OPEN"
2,6,600,115,"Direct product",FALSE,FALSE,8,75,115,120,0,-5,"ARITHMETIC"
2,6,624,116,"Direct product",FALSE,FALSE,8,78,116,121,0,-5,"ARITHMETIC"
2,6,632,117,"Direct product",FALSE,FALSE,8,79,117,122,0,-5,"ARITHMETIC"
2,6,640,118,"Direct product",FALSE,FALSE,8,80,118,123,0,-5,"ARITHMETIC"
2,6,838,123,"Direct product generalized",TRUE,FALSE,11,77,125,130,-2,-7,"ARITH_OPEN"
2,6,881,124,"Direct product generalized",TRUE,FALSE,12,74,126,131,-2,-7,"ARITH_OPEN"
2,6,905,125,"Direct product generalized",TRUE,FALSE,18,51,126,131,-1,-6,"ARITH_OPEN"
2,6,964,126,"Direct product generalized",TRUE,FALSE,16,61,127,132,-1,-6,"ARITH_OPEN"
2,6,1520,134,"Direct product generalized",TRUE,FALSE,19,80,135,140,-1,-6,"ARITH_OPEN"
2,6,1627,135,"Direct product generalized",TRUE,FALSE,22,74,136,141,-1,-6,"ARITH_OPEN"
2,6,1695,136,"Direct product generalized",TRUE,FALSE,22,78,137,142,-1,-6,"ARITH_OPEN"
2,6,1786,137,"Direct product generalized",TRUE,FALSE,8,224,139,144,-2,-7,"ARITH_OPEN"
2,6,1893,138,"Direct product generalized",TRUE,FALSE,8,237,140,145,-2,-7,"ARITH_OPEN"
2,6,2068,139,"Direct product generalized",TRUE,FALSE,8,259,141,146,-2,-7,"ARITH_OPEN"
2,6,2231,140,"Direct product generalized",TRUE,FALSE,8,279,142,147,-2,-7,"ARITH_OPEN"
2,6,2482,141,"Direct product generalized",TRUE,FALSE,8,311,143,148,-2,-7,"ARITH_OPEN"
2,6,2744,142,"Direct product generalized",TRUE,FALSE,8,343,145,150,-3,-8,"ARITH_OPEN"
2,6,2943,143,"Direct product generalized",TRUE,FALSE,8,368,145,150,-2,-7,"ARITH_OPEN"
2,6,3072,144,"Direct product generalized",TRUE,FALSE,49,63,145,150,-1,-6,"ARITH_OPEN"
2,6,3328,145,"Direct product generalized",TRUE,FALSE,52,64,146,151,-1,-6,"ARITH_OPEN"
2,6,4032,147,"Direct product",FALSE,FALSE,63,64,147,152,0,-5,"ARITHMETIC"
2,6,4212,148,"Direct product generalized",TRUE,FALSE,62,68,148,153,0,-5,"ARITH_INFERRED"
2,6,4800,150,"Direct product",FALSE,FALSE,62,78,150,155,0,-5,"ARITHMETIC"
2,6,4992,151,"Direct product",FALSE,FALSE,64,78,151,156,0,-5,"ARITHMETIC"
2,6,6452,158,"Direct product generalized",TRUE,FALSE,77,84,158,163,0,-5,"ARITH_INFERRED"
2,6,7275,159,"Direct product generalized",TRUE,FALSE,62,118,161,166,-2,-7,"ARITH_OPEN"
2,6,7518,160,"Direct product generalized",TRUE,FALSE,8,940,162,167,-2,-7,"ARITH_OPEN"
2,6,7789,161,"Direct product generalized",TRUE,FALSE,17,459,162,167,-1,-6,"ARITH_OPEN"
2,6,9432,164,"Direct product",FALSE,FALSE,18,524,164,169,0,-5,"ARITHMETIC"
2,6,10314,165,"Direct product generalized",TRUE,FALSE,8,1290,166,171,-1,-6,"ARITH_OPEN"
2,6,10648,166,"Direct product",FALSE,FALSE,8,1331,166,171,0,-5,"ARITHMETIC"
2,6,11584,168,"Direct product generalized",TRUE,FALSE,8,1448,169,174,-1,-6,"ARITH_OPEN"
2,6,12146,169,"Direct product generalized",TRUE,FALSE,8,1519,170,175,-1,-6,"ARITH_OPEN"
2,6,13199,170,"Direct product generalized",TRUE,FALSE,8,1650,172,177,-2,-7,"ARITH_OPEN"
2,6,14333,171,"Direct product generalized",TRUE,FALSE,78,184,173,178,-2,-7,"ARITH_OPEN"
2,6,15257,172,"Direct product generalized",TRUE,FALSE,63,243,174,179,-2,-7,"ARITH_OPEN"
2,6,16153,173,"Direct product generalized",TRUE,FALSE,8,2020,175,180,-2,-7,"ARITH_OPEN"
2,6,17033,174,"Direct product generalized",TRUE,FALSE,63,271,175,180,-1,-6,"ARITH_OPEN"
2,6,18534,175,"Direct product generalized",TRUE,FALSE,62,299,176,181,-1,-6,"ARITH_OPEN"
2,6,19556,176,"Direct product generalized",TRUE,FALSE,8,2445,177,182,-1,-6,"ARITH_OPEN"
2,6,20000,177,"Direct product generalized",TRUE,FALSE,63,318,177,182,0,-5,"ARITH_INFERRED"
2,7,64,96,"Direct product",FALSE,FALSE,8,8,91,97,5,-1,"ARITH_OPEN"
2,7,80,105,"Direct product",FALSE,FALSE,8,10,103,109,2,-4,"ARITH_OPEN"
2,7,91,111,"Direct product generalized",TRUE,FALSE,7,13,113,119,-2,-8,"ARITH_OPEN"
2,7,104,117,"Direct product",FALSE,FALSE,8,13,113,119,4,-2,"ARITH_OPEN"
2,7,130,125,"Direct product generalized",TRUE,FALSE,8,17,124,130,1,-5,"ARITH_OPEN"
2,7,176,129,"Direct product",FALSE,FALSE,8,22,129,135,0,-6,"ARITHMETIC"
2,7,632,146,"Direct product",FALSE,FALSE,8,79,145,151,1,-5,"ARITH_OPEN"
2,7,640,147,"Direct product",FALSE,FALSE,8,80,147,153,0,-6,"ARITHMETIC"
2,7,693,151,"Direct product",FALSE,FALSE,8,87,149,155,2,-4,"ARITH_OPEN"
2,7,728,153,"Direct product generalized",TRUE,FALSE,8,91,153,159,0,-6,"ARITH_INFERRED"
2,7,800,155,"Direct product",FALSE,FALSE,8,100,155,161,0,-6,"ARITHMETIC"
