"family","t","v","k","N","Source","m","base_tag","N_pred","tier"
"fuse",6,4,320,234359,"Restricted CPHF Sim Annealing (TJ-IM) fuse",1,"Restricted CPHF Sim Annealing (TJ-IM)",234359,"ARITHMETIC"
"fuse",6,4,410,249983,"Restricted CPHF Sim Annealing (TJ-IM) fuse",1,"Restricted CPHF Sim Annealing (TJ-IM)",249983,"ARITHMETIC"
"fuse",6,4,550,265607,"Restricted CPHF Sim Annealing (TJ-IM) fuse",1,"Restricted CPHF Sim Annealing (TJ-IM)",265607,"ARITHMETIC"
"fuse",6,4,640,281231,"Restricted CPHF Sim Annealing (TJ-IM) fuse",1,"Restricted CPHF Sim Annealing (TJ-IM)",281231,"ARITHMETIC"
"fuse",6,4,720,296855,"Restricted CPHF Sim Annealing (TJ-IM) fuse",1,"Restricted CPHF Sim Annealing (TJ-IM)",296855,"ARITHMETIC"
"fuse",4,6,30,6851,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",6851,"ARITHMETIC"
"fuse",4,6,33,7145,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",7145,"ARITHMETIC"
"fuse",4,6,34,7187,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",7187,"ARITHMETIC"
"fuse",4,6,64,9599,"CPHF IPO 4 (WCS) fuse",1,"CPHF IPO 4 (WCS)",9599,"ARITHMETIC"
"fuse",4,6,99,11891,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",11891,"ARITHMETIC"
"fuse",4,6,117,11999,"CPHF IPO 5 (WCS) fuse",1,"CPHF IPO 5 (WCS)",11999,"ARITHMETIC"
"fuse",4,6,166,14327,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",14327,"ARITHMETIC"
"fuse",4,6,174,14369,"SCPHF Conditional Expectation (CLS) fuse",1,"SCPHF Conditional Expectation (CLS)",14369,"ARITHMETIC"
