"family","t","v","k","N","Source","N_pred","tier"
"Martirosyan-Colbourn",6,3,678,60140,"Martirosyan-Colbourn",60140,"ARITHMETIC"
"Martirosyan-Colbourn",6,3,700,65212,"Martirosyan-Colbourn",65212,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,2366,45519,"Martirosyan-Colbourn",45519,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,2372,45534,"Martirosyan-Colbourn",45534,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,2374,45549,"Martirosyan-Colbourn",45534,"ARITH_ABOVE"
"Martirosyan-Colbourn",5,4,2400,45564,"Martirosyan-Colbourn",45564,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,2410,46065,"Martirosyan-Colbourn",46065,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,2752,49140,"Martirosyan-Colbourn",49140,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,3000,49308,"Martirosyan-Colbourn",49308,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,3312,50178,"Martirosyan-Colbourn",50178,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,3600,50184,"Martirosyan-Colbourn",50184,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,3856,50358,"Martirosyan-Colbourn",50358,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,4320,50439,"Martirosyan-Colbourn",50439,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,4322,57363,"Martirosyan-Colbourn",57363,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,4324,60243,"Martirosyan-Colbourn",60243,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,4326,61011,"Martirosyan-Colbourn",61011,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,4328,61779,"Martirosyan-Colbourn",61779,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,4330,65413,"Martirosyan-Colbourn",65413,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,4332,71583,"Martirosyan-Colbourn",71583,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,4334,72351,"Martirosyan-Colbourn",72351,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,4336,73119,"Martirosyan-Colbourn",73119,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,7780,82446,"Martirosyan-Colbourn",82446,"ARITHMETIC"
"Martirosyan-Colbourn",5,4,8640,82447,"Martirosyan-Colbourn",82447,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,2412,140566,"Martirosyan-Colbourn",140566,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,2604,140590,"Martirosyan-Colbourn",140590,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,2754,141166,"Martirosyan-Colbourn",141166,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,3200,144290,"Martirosyan-Colbourn",144290,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,3262,146786,"Martirosyan-Colbourn",146786,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,3284,146810,"Martirosyan-Colbourn",146810,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,3600,147386,"Martirosyan-Colbourn",147386,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,4206,150510,"Martirosyan-Colbourn",150510,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,4210,150534,"Martirosyan-Colbourn",150534,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,4214,150558,"Martirosyan-Colbourn",150558,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,4800,151110,"Martirosyan-Colbourn",151110,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,4802,170650,"Martirosyan-Colbourn",170650,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,4804,180150,"Martirosyan-Colbourn",180150,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,4806,182650,"Martirosyan-Colbourn",182650,"ARITHMETIC"
"Martirosyan-Colbourn",5,5,4810,185150,"Martirosyan-Colbourn",185150,"ARITHMETIC"
"Martirosyan-Colbourn",5,6,722,360760,"Martirosyan-Colbourn",360760,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,836,363154,"Martirosyan-Colbourn",363154,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,894,365212,"Martirosyan-Colbourn",365212,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,902,365506,"Martirosyan-Colbourn",365506,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,908,365548,"Martirosyan-Colbourn",365548,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,910,365608,"Martirosyan-Colbourn",365608,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,990,375166,"Martirosyan-Colbourn",375166,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,1092,377560,"Martirosyan-Colbourn",377560,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,1184,379954,"Martirosyan-Colbourn",379954,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,1256,382012,"Martirosyan-Colbourn",382012,"ARITH_INFERRED"
"Martirosyan-Colbourn",5,6,1320,382306,"Martirosyan-Colbourn",382306,"ARITH_INFERRED"
