"family","t","v","k","N","Source","kind","N_pred","tier"
"Martirosyan-TVT",6,6,11,157440,"Martirosyan-TVT postop NCK","postop",287646,"ARITH_BOUND_ONLY"
"Martirosyan-TVT",6,6,12,183244,"Martirosyan-TVT postop NCK","postop",287646,"ARITH_BOUND_ONLY"
"Martirosyan-TVT",6,6,13,210598,"Martirosyan-TVT postop NCK","postop",337492,"ARITH_BOUND_ONLY"
"Martirosyan-TVT",6,6,14,235561,"Martirosyan-TVT postop NCK","postop",337492,"ARITH_BOUND_ONLY"
"Martirosyan-TVT",6,6,15,261440,"Martirosyan-TVT postop NCK","postop",385582,"ARITH_BOUND_ONLY"
"Martirosyan-TVT",6,6,16,286636,"Martirosyan-TVT postop NCK","postop",385582,"ARITH_BOUND_ONLY"
"Martirosyan-TVT",6,6,263,5060446,"Martirosyan-TVT variant","variant",5060446,"ARITHMETIC"
"Martirosyan-TVT",6,6,264,5062010,"Martirosyan-TVT","plain",5062010,"ARITHMETIC"
"Martirosyan-TVT",6,6,265,5079418,"Martirosyan-TVT variant","variant",5079418,"ARITHMETIC"
"Martirosyan-TVT",6,6,268,5110752,"Martirosyan-TVT","plain",5110752,"ARITHMETIC"
"Martirosyan-TVT",6,6,269,5116239,"Martirosyan-TVT variant","variant",5116239,"ARITHMETIC"
"Martirosyan-TVT",6,6,270,5121726,"Martirosyan-TVT","plain",5121726,"ARITHMETIC"
"Martirosyan-TVT",6,6,271,5123880,"Martirosyan-TVT variant","variant",5123880,"ARITHMETIC"
"Martirosyan-TVT",6,6,272,5125740,"Martirosyan-TVT","plain",5125740,"ARITHMETIC"
"Martirosyan-TVT",6,6,273,5129088,"Martirosyan-TVT variant","variant",5129088,"ARITHMETIC"
"Martirosyan-TVT",6,6,274,5132436,"Martirosyan-TVT","plain",5132436,"ARITHMETIC"
"Martirosyan-TVT",6,6,275,5135133,"Martirosyan-TVT variant","variant",5135133,"ARITHMETIC"
"Martirosyan-TVT",6,6,276,5137830,"Martirosyan-TVT","plain",5137830,"ARITHMETIC"
"Martirosyan-TVT",6,6,277,5140197,"Martirosyan-TVT variant","variant",5140197,"ARITHMETIC"
"Martirosyan-TVT",6,6,278,5142522,"Martirosyan-TVT","plain",5142522,"ARITHMETIC"
"Martirosyan-TVT",6,6,279,5145219,"Martirosyan-TVT variant","variant",5145219,"ARITHMETIC"
"Martirosyan-TVT",6,6,280,5147916,"Martirosyan-TVT","plain",5147916,"ARITHMETIC"
"Martirosyan-TVT",6,10,264,60383587,"Martirosyan-TVT","plain",60383587,"ARITHMETIC"
"Martirosyan-TVT",6,10,266,60529997,"Martirosyan-TVT","plain",60529997,"ARITHMETIC"
"Martirosyan-TVT",6,10,335,70599150,"Martirosyan-TVT variant","variant",70599150,"ARITHMETIC"
"Martirosyan-TVT",6,10,339,70742828,"Martirosyan-TVT variant","variant",70742828,"ARITHMETIC"
"Martirosyan-TVT",6,10,340,72035930,"Martirosyan-TVT","plain",72035930,"ARITHMETIC"
"Martirosyan-TVT",6,10,341,72288930,"Martirosyan-TVT variant","variant",72288930,"ARITHMETIC"
"Martirosyan-TVT",6,10,343,73271320,"Martirosyan-TVT variant","variant",73271320,"ARITHMETIC"
"Martirosyan-TVT",6,10,347,73417198,"Martirosyan-TVT variant","variant",73417198,"ARITHMETIC"
"Martirosyan-TVT",6,10,364,73563076,"Martirosyan-TVT","plain",73563076,"ARITHMETIC"
"Martirosyan-TVT",6,10,365,73682866,"Martirosyan-TVT variant","variant",73682866,"ARITHMETIC"
"Martirosyan-TVT",6,10,381,74558134,"Martirosyan-TVT variant","variant",74558134,"ARITHMETIC"
"Martirosyan-TVT",6,10,386,74704012,"Martirosyan-TVT","plain",74704012,"ARITHMETIC"
"Martirosyan-TVT",6,10,387,74730852,"Martirosyan-TVT variant","variant",74730852,"ARITHMETIC"
"Martirosyan-TVT",6,10,391,74757692,"Martirosyan-TVT variant","variant",74757692,"ARITHMETIC"
"Martirosyan-TVT",6,10,392,75634280,"Martirosyan-TVT","plain",75634280,"ARITHMETIC"
"Martirosyan-TVT",6,10,398,75645170,"Martirosyan-TVT","plain",75645170,"ARITHMETIC"
"Martirosyan-TVT",6,10,399,75672670,"Martirosyan-TVT variant","variant",75672670,"ARITHMETIC"
"Martirosyan-TVT",6,10,406,75700170,"Martirosyan-TVT","plain",75700170,"ARITHMETIC"
"Martirosyan-TVT",6,10,407,75710170,"Martirosyan-TVT variant","variant",75710170,"ARITHMETIC"
"Martirosyan-TVT",6,10,409,75720170,"Martirosyan-TVT variant","variant",75720170,"ARITHMETIC"
"Martirosyan-TVT",6,10,411,76012966,"Martirosyan-TVT variant","variant",76012966,"ARITHMETIC"
"Martirosyan-TVT",6,10,416,76159364,"Martirosyan-TVT","plain",76159364,"ARITHMETIC"
"Martirosyan-TVT",5,12,1204,11266092,"Martirosyan-TVT","plain",11266092,"ARITHMETIC"
"Martirosyan-TVT",5,12,1205,11321532,"Martirosyan-TVT variant","variant",11321532,"ARITHMETIC"
"Martirosyan-TVT",5,12,1228,11376972,"Martirosyan-TVT","plain",11376972,"ARITHMETIC"
"Martirosyan-TVT",6,12,280,151437905,"Martirosyan-TVT","plain",151437905,"ARITHMETIC"
"Martirosyan-TVT",6,12,281,151727909,"Martirosyan-TVT variant","variant",151727909,"ARITHMETIC"
"Martirosyan-TVT",6,12,286,152184865,"Martirosyan-TVT","plain",152184865,"ARITHMETIC"
