"fam","t","v","k","N","Source","q","e","plus","nred","M","M_status","N_pred","dN","k_pred","dk","arith_tier"
"CT",3,2,88,32,"Power CT11^2,T3c",11,2,0,1,3,"FORMULA",32,0,88,0,"ARITHMETIC"
"CT",3,2,121,33,"Power CT11^2",11,2,0,0,3,"FORMULA",33,0,121,0,"ARITHMETIC"
"CT",3,2,352,49,"Power CT11^3T7T3c",11,3,0,2,5,"FORMULA",49,0,352,0,"ARITHMETIC"
"CT",3,2,484,50,"Power CT11^3,T7c",11,3,0,1,5,"FORMULA",50,0,484,0,"ARITHMETIC"
"CT",3,2,605,52,"Power CT11^3,T6c",11,3,0,1,5,"FORMULA",52,0,605,0,"ARITHMETIC"
"CT",3,2,704,53,"Power CT11^3T3T3c",11,3,0,2,5,"FORMULA",53,0,704,0,"ARITHMETIC"
"CT",3,2,968,54,"Power CT11^3,T3c",11,3,0,1,5,"FORMULA",54,0,968,0,"ARITHMETIC"
"CT",3,2,1331,55,"Power CT11^3",11,3,0,0,5,"FORMULA",55,0,1331,0,"ARITHMETIC"
"CT",3,2,1452,61,"Power CT12^3,cT1T1",12,3,0,2,5,"FORMULA",61,0,1452,0,"ARITHMETIC"
"CT",3,2,1584,64,"Power CT12^3,cT1",12,3,0,1,5,"FORMULA",64,0,1584,0,"ARITHMETIC"
"CT",3,2,1936,67,"Power CT11^4T7T7c",11,4,0,2,7,"FORMULA",67,0,1936,0,"ARITHMETIC"
"CT",3,2,2662,68,"Power CT11^4,cT9c",11,4,0,1,7,"FORMULA",68,0,2662,0,"ARITHMETIC"
"CT",3,2,2816,70,"Power CT11^4T3cT3cT7c",11,4,0,3,7,"FORMULA",70,0,2816,0,"ARITHMETIC"
"CT",3,2,3872,71,"Power CT11^4T7T3c",11,4,0,2,7,"FORMULA",71,0,3872,0,"ARITHMETIC"
"CT",3,2,5324,72,"Power CT11^4,T7c",11,4,0,1,7,"FORMULA",72,0,5324,0,"ARITHMETIC"
"CT",3,2,6655,74,"Power CT11^4,T6c",11,4,0,1,7,"FORMULA",74,0,6655,0,"ARITHMETIC"
"CT",3,2,7744,75,"Power CT11^4T3T3c",11,4,0,2,7,"FORMULA",75,0,7744,0,"ARITHMETIC"
"CT",3,2,10000,76,"Power CT11^4,T3c",11,4,0,1,7,"FORMULA",76,0,10648,-648,"ARITHMETIC"
"CT",4,2,144,112,"Power CT12^2,c",12,2,0,0,5,"FORMULA",112,0,144,0,"ARITHMETIC"
"CT",4,2,1332,200,"Power CT11^3,+1c",11,3,1,0,9,"FORMULA",200,0,1332,0,"ARITHMETIC"
"CT",4,2,10000,288,"Power CT13^4S13c",13,4,0,13,13,"FORMULA",288,0,NA,NA,"ARITHMETIC"
"CT",5,2,2198,819,"Power CT13^3+1",13,3,1,0,13,"FORMULA",819,0,2198,0,"ARITHMETIC"
"CT",5,2,2380,938,"Power CT68^2,cT33c",68,2,0,1,7,"FORMULA",938,0,2380,0,"ARITHMETIC"
"CT",5,2,4624,940,"Power CT68^2,c",68,2,0,0,7,"FORMULA",940,0,4624,0,"ARITHMETIC"
"CT",5,2,4707,986,"Power CT73^2Arc(7)T2",73,2,0,8,7,"FORMULA",NA,NA,4707,0,"ARITH_OPEN"
"CT",5,2,4896,988,"Power CT72^2,cT4c",72,2,0,1,7,"FORMULA",988,0,4896,0,"ARITHMETIC"
"CT",5,2,5184,996,"Power CT72^2,c",72,2,0,0,7,"FORMULA",996,0,5184,0,"ARITHMETIC"
"CT",5,2,5440,1078,"Power CT80^2,cT12c",80,2,0,1,7,"FORMULA",1078,0,5440,0,"ARITHMETIC"
"CT",5,2,5760,1086,"Power CT80^2,cT8c",80,2,0,1,7,"FORMULA",1086,0,5760,0,"ARITHMETIC"
"CT",5,2,5867,1097,"Power CT81^2Arc(7)T2",81,2,0,8,7,"FORMULA",NA,NA,5867,0,"ARITH_OPEN"
"CT",5,2,6400,1101,"Power CT80^2,c",80,2,0,0,7,"FORMULA",1101,0,6400,0,"ARITHMETIC"
"CT",5,2,6720,1155,"Power CT84^2,cT4c",84,2,0,1,7,"FORMULA",1155,0,6720,0,"ARITHMETIC"
"CT",5,2,7056,1164,"Power CT84^2,c",84,2,0,0,7,"FORMULA",1164,0,7056,0,"ARITHMETIC"
"CT",5,2,7200,1215,"Power CT90^2,cT10c",90,2,0,1,7,"FORMULA",1215,0,7200,0,"ARITHMETIC"
"CT",5,2,7560,1224,"Power CT90^2,cT6c",90,2,0,1,7,"FORMULA",1224,0,7560,0,"ARITHMETIC"
"CT",5,2,8100,1234,"Power CT90^2,c",90,2,0,0,7,"FORMULA",1234,0,8100,0,"ARITHMETIC"
"CT",5,2,8232,1320,"Power CT98^2,cT14c",98,2,0,1,7,"FORMULA",1320,0,8232,0,"ARITHMETIC"
"CT",5,2,8820,1330,"Power CT98^2,cT8c",98,2,0,1,7,"FORMULA",1330,0,8820,0,"ARITHMETIC"
"CT",5,2,9604,1346,"Power CT98^2,c",98,2,0,0,7,"FORMULA",1346,0,9604,0,"ARITHMETIC"
"CT",5,2,9898,1394,"Power CT101^2,cT3c",101,2,0,1,7,"FORMULA",1394,0,9898,0,"ARITHMETIC"
"CT",5,2,10000,1402,"Power CT100^2,c",100,2,0,0,7,"FORMULA",1402,0,10000,0,"ARITHMETIC"
"CT",6,2,2752,4839,"Power CT19^3T3cS18",19,3,0,19,19,"FORMULA",4839,0,2752,0,"ARITHMETIC"
"CT",6,2,2784,4864,"Power CT19^3T3cS17",19,3,0,18,19,"FORMULA",4864,0,2784,0,"ARITHMETIC"
"CT",6,2,5832,5321,"Power CT19^3T1T1T1",19,3,0,3,19,"FORMULA",5321,0,5832,0,"ARITHMETIC"
"CT",6,2,6156,5346,"Power CT19^3T1T1",19,3,0,2,19,"FORMULA",5346,0,6156,0,"ARITHMETIC"
"CT",6,2,6498,5371,"Power CT19^3T1",19,3,0,1,19,"FORMULA",5371,0,6498,0,"ARITHMETIC"
"CT",6,2,6859,5396,"Power CT19^3",19,3,0,0,19,"FORMULA",5396,0,6859,0,"ARITHMETIC"
"CT",6,2,6860,5681,"Power CT19^3+1",19,3,1,0,19,"FORMULA",5681,0,6860,0,"ARITHMETIC"
"CT",6,3,362,52065,"Power CT19^2+1",19,2,1,0,13,"FORMULA",52065,0,362,0,"ARITHMETIC"
"CT",6,3,363,54587,"Power CT19^2+2",19,2,2,0,13,"FORMULA",54587,0,363,0,"ARITHMETIC"
"CT",6,3,364,57187,"Power CT19^2+3",19,2,3,0,13,"FORMULA",57187,0,364,0,"ARITHMETIC"
"CT",6,3,730,69654,"Power CT27^2+1",27,2,1,0,13,"FORMULA",69654,0,730,0,"ARITHMETIC"
"CT",6,3,754,69927,"Power CT29^2T3",29,2,0,1,13,"FORMULA",69927,0,754,0,"ARITHMETIC"
"CT",6,3,756,70056,"Power CT29^2T2T1",29,2,0,2,13,"FORMULA",70056,0,756,0,"ARITHMETIC"
"CT",6,3,783,70107,"Power CT29^2T2",29,2,0,1,13,"FORMULA",70107,0,783,0,"ARITHMETIC"
"CT",6,3,784,70215,"Power CT29^2T1T1",29,2,0,2,13,"FORMULA",70215,0,784,0,"ARITHMETIC"
"CT",6,3,812,70266,"Power CT29^2T1",29,2,0,1,13,"FORMULA",70266,0,812,0,"ARITHMETIC"
"CT",6,3,841,70317,"Power CT29^2",29,2,0,0,13,"FORMULA",70317,0,841,0,"ARITHMETIC"
"CT",6,3,870,73570,"Power CT31^2T2T1",31,2,0,2,13,"FORMULA",73570,0,870,0,"ARITHMETIC"
"CT",6,3,871,73613,"Power CT31^2Arc(3)",31,2,0,3,13,"FORMULA",73613,0,871,0,"ARITHMETIC"
"CT",6,3,899,73689,"Power CT31^2T2",31,2,0,1,13,"FORMULA",73689,0,899,0,"ARITHMETIC"
"CT",6,3,900,73732,"Power CT31^2T1T1",31,2,0,2,13,"FORMULA",73732,0,900,0,"ARITHMETIC"
"CT",6,3,930,73851,"Power CT31^2T1",31,2,0,1,13,"FORMULA",73851,0,930,0,"ARITHMETIC"
"CT",6,3,961,73970,"Power CT31^2",31,2,0,0,13,"FORMULA",73970,0,961,0,"ARITHMETIC"
"CT",6,3,992,75110,"Power CT32^2T1",32,2,0,1,13,"FORMULA",75110,0,992,0,"ARITHMETIC"
"CT",6,3,1024,75205,"Power CT32^2",32,2,0,0,13,"FORMULA",75205,0,1024,0,"ARITHMETIC"
"CT",6,3,1027,75712,"Power CT32^2+3",32,2,3,0,13,"FORMULA",75712,0,1027,0,"ARITHMETIC"
"CT",6,3,1039,79640,"Power CT37^2Arc(10):5 twos,0 ones",37,2,0,5,13,"FORMULA",79640,0,1039,0,"ARITHMETIC"
"CT",6,3,1040,79995,"Power CT37^2Arc(12):4 twos,2 ones",37,2,0,6,13,"FORMULA",79995,0,1040,0,"ARITHMETIC"
"CT",6,3,1068,80063,"Power CT37^2Arc(10):4 twos,1 ones",37,2,0,5,13,"FORMULA",80063,0,1068,0,"ARITHMETIC"
"CT",6,3,1097,80131,"Power CT37^2Arc(8):4 twos,0 ones",37,2,0,4,13,"FORMULA",80131,0,1097,0,"ARITHMETIC"
