"family","t","v","k","N","Source","N_pred","tier"
"Derive",3,2,5,10,"Derive from strength 4",10,"ARITHMETIC"
"Derive",3,2,11,12,"Derive from strength 4",12,"ARITHMETIC"
"Derive",3,2,16,17,"Derive from strength 4",17,"ARITHMETIC"
"Derive",4,2,5,16,"Derive from strength 5",16,"ARITHMETIC"
"Derive",4,2,6,21,"Derive from strength 5",21,"ARITHMETIC"
"Derive",4,2,13,32,"Derive from strength 5",32,"ARITHMETIC"
"Derive",4,2,79,79,"Derive from strength 5",79,"ARITHMETIC"
"Derive",5,2,1230,615,"Derive from strength 6",615,"ARITHMETIC"
"Derive",5,2,1282,641,"Derive from strength 6",641,"ARITHMETIC"
"Derive",5,2,1318,659,"Derive from strength 6",659,"ARITHMETIC"
"Derive",5,2,1360,680,"Derive from strength 6",680,"ARITHMETIC"
"Derive",5,2,1366,683,"Derive from strength 6",683,"ARITHMETIC"
"Derive",5,2,1372,686,"Derive from strength 6",686,"ARITHMETIC"
"Derive",5,2,1380,690,"Derive from strength 6",690,"ARITHMETIC"
"Derive",5,2,1422,711,"Derive from strength 6",711,"ARITHMETIC"
"Derive",5,2,1426,713,"Derive from strength 6",713,"ARITHMETIC"
"Derive",5,2,1428,714,"Derive from strength 6",714,"ARITHMETIC"
"Derive",5,2,1438,719,"Derive from strength 6",719,"ARITHMETIC"
"Derive",5,2,1446,723,"Derive from strength 6",723,"ARITHMETIC"
"Derive",5,2,1458,729,"Derive from strength 6",729,"ARITHMETIC"
"Derive",5,2,1482,741,"Derive from strength 6",741,"ARITHMETIC"
"Derive",5,2,1486,743,"Derive from strength 6",743,"ARITHMETIC"
"Derive",5,2,1492,746,"Derive from strength 6",746,"ARITHMETIC"
"Derive",5,2,1498,749,"Derive from strength 6",749,"ARITHMETIC"
"Derive",5,2,1510,755,"Derive from strength 6",755,"ARITHMETIC"
"Derive",5,2,1522,761,"Derive from strength 6",761,"ARITHMETIC"
"Derive",5,2,1548,774,"Derive from strength 6",774,"ARITHMETIC"
"Derive",5,2,1558,779,"Derive from strength 6",779,"ARITHMETIC"
"Derive",5,2,1566,783,"Derive from strength 6",783,"ARITHMETIC"
"Derive",5,2,1570,785,"Derive from strength 6",785,"ARITHMETIC"
"Derive",5,2,1578,789,"Derive from strength 6",789,"ARITHMETIC"
"Derive",5,2,1582,791,"Derive from strength 6",791,"ARITHMETIC"
