"key","t","pcls","q","e","rows","shapes","M","M_values","status"
"6 4 67 2",6,4,67,2,11,4,13,"13","CALIBRATED"
"6 4 71 2",6,4,71,2,7,2,13,"13","CALIBRATED"
"6 4 73 2",6,4,73,2,2,2,13,"13","CALIBRATED"
"6 4 79 2",6,4,79,2,9,4,13,"13","CALIBRATED"
"6 4 83 2",6,4,83,2,3,3,13,"13","CALIBRATED"
"6 4 89 2",6,4,89,2,5,4,13,"13","CALIBRATED"
"6 4 101 2",6,4,101,2,8,2,13,"13","CALIBRATED"
"6 4 97 2",6,4,97,2,2,2,13,"13","CALIBRATED"
"5 5 101 2",5,5,101,2,25,6,9,"9","CALIBRATED"
"6 6 31 2",6,6,31,2,85,6,15,"15","CALIBRATED"
"6 6 29 2",6,6,29,2,58,6,15,"15","CALIBRATED"
"6 6 41 2",6,6,41,2,147,6,14,"14","CALIBRATED"
"6 6 47 2",6,6,47,2,119,6,14,"14","CALIBRATED"
"6 6 53 2",6,6,53,2,129,7,14,"14","CALIBRATED"
"6 6 67 2",6,6,67,2,58,6,14,"14","CALIBRATED"
"6 6 59 2",6,6,59,2,55,5,14,"14","CALIBRATED"
"6 6 73 2",6,6,73,2,296,8,13,"13","CALIBRATED"
"6 6 79 2",6,6,79,2,142,7,13,"13","CALIBRATED"
"6 6 89 2",6,6,89,2,91,7,13,"13","CALIBRATED"
"6 6 97 2",6,6,97,2,91,7,13,"13","CALIBRATED"
"6 6 101 2",6,6,101,2,80,6,13,"13","CALIBRATED"
"5 5 43 2",5,5,43,2,37,6,9,"9","CALIBRATED"
"5 5 41 2",5,5,41,2,40,6,9,"9","CALIBRATED"
"5 5 53 2",5,5,53,2,9,2,9,"9","CALIBRATED"
"5 5 59 2",5,5,59,2,6,3,9,"9","CALIBRATED"
"5 5 79 2",5,5,79,2,43,6,9,"9","CALIBRATED"
"5 5 61 2",5,5,61,2,32,6,9,"9","CALIBRATED"
"5 5 83 2",5,5,83,2,20,5,9,"9","CALIBRATED"
"5 5 89 2",5,5,89,2,80,7,9,"9","CALIBRATED"
"5 5 47 2",5,5,47,2,39,7,9,"9","CALIBRATED"
"5 5 67 2",5,5,67,2,51,7,9,"9","CALIBRATED"
"5 5 73 2",5,5,73,2,31,3,9,"9","CALIBRATED"
"5 5 97 2",5,5,97,2,13,5,9,"9","CALIBRATED"
"6 6 37 2",6,6,37,2,29,3,15,"15","CALIBRATED"
"6 6 83 2",6,6,83,2,93,6,13,"13","CALIBRATED"
"5 5 71 2",5,5,71,2,24,4,9,"9","CALIBRATED"
"6 6 43 2",6,6,43,2,66,5,14,"14","CALIBRATED"
"6 6 61 2",6,6,61,2,39,5,14,"14","CALIBRATED"
"5 5 37 2",5,5,37,2,18,5,10,"10","CALIBRATED"
