"t","v","k","N","Source","e","q","M","Mct","N_ctlaw","res","k_pred"
4,2,120,110,"Power CZ2-12.4-10.1",2,12,5,5,115,-5,120
4,2,256,160,"Power CZ2-16.5",2,16,5,5,170,-10,256
4,2,272,162,"Power CZ2-17.4-16.1",2,17,5,5,170,-8,272
4,2,405,176,"Power CZ3-9.8-5.1",3,9,9,9,199,-23,405
4,2,486,180,"Power CZ3-9.8-6.1",3,9,9,9,204,-24,486
4,2,729,184,"Power CZ3-9.9",3,9,9,9,207,-23,729
4,2,792,188,"Power CZ3-11.7-8.1-9.1",3,11,9,9,207,-19,792
4,2,880,190,"Power CZ3-11.7-8.1-10.1",3,11,9,9,207,-17,880
4,2,968,192,"Power CZ3-11.8-8.1",3,11,9,9,207,-15,968
4,2,990,194,"Power CZ3-11.7-9.1-10.1",3,11,9,9,207,-13,990
4,2,1100,196,"Power CZ3-11.7-10.1-10.1",3,11,9,9,207,-11,1100
4,2,1210,198,"Power CZ3-11.8-10.1",3,11,9,9,207,-9,1210
4,2,1368,216,"Power CZ3-13.3-12.6",3,13,9,9,231,-15,NA
4,2,1476,224,"Power CZ3-13.4-12.5",3,13,9,9,239,-15,NA
4,2,1596,233,"Power CZ3-13.5-12.4",3,13,9,9,247,-14,NA
4,2,1728,242,"Power CZ3-13.6-12.3",3,13,9,9,255,-13,1728
4,2,1872,251,"Power CZ3-13.7-12.1-12.1",3,13,9,9,263,-12,1872
4,2,2028,260,"Power CZ3-13.8-12.1",3,13,9,9,271,-11,2028
4,2,2304,263,"Power CZ3-16.7-12.1-12.1",3,16,9,9,284,-21,2304
4,2,2496,271,"Power CZ3-16.7-12.1-13.1",3,16,9,9,292,-21,2496
4,2,3395,272,"Power CZ4-13.0-12.12-4.1",4,13,13,13,291,-19,NA
4,2,4248,276,"Power CZ4-13.0-12.12-5.1",4,13,13,13,291,-15,NA
4,2,6781,280,"Power CZ4-13.0-12.12-8.1",4,13,13,13,299,-19,NA
4,2,7625,284,"Power CZ4-13.0-12.12-9.1",4,13,13,13,299,-15,NA
4,2,8466,286,"Power CZ4-13.0-12.12-10.1",4,13,13,13,299,-13,NA
5,2,1690,792,"Power CZ3-13.12-10.1",3,13,13,13,811,-19,1690
5,2,1859,814,"Power CZ3-13.12-11.1",3,13,13,13,819,-5,1859
6,2,2673,4721,"Power CZ3-19.15-15.4",3,19,19,19,4768,-47,NA
6,2,2839,4889,"Power CZ3-19.11-18.0-17.8",3,19,19,19,4996,-107,NA
6,2,3375,4893,"Power CZ3-19.16-15.1-15.1-15.1",3,19,19,19,4925,-32,3375
6,2,3600,4943,"Power CZ3-19.16-15.1-15.1-16.1",3,19,19,19,4976,-33,3600
6,2,3840,4993,"Power CZ3-19.16-15.1-16.1-16.1",3,19,19,19,5027,-34,3840
6,2,4050,5041,"Power CZ3-19.16-15.1-15.1-18.1",3,19,19,19,5057,-16,4050
6,2,4096,5043,"Power CZ3-19.16-16.1-16.1-16.1",3,19,19,19,5078,-35,4096
6,2,4275,5065,"Power CZ3-19.17-15.1-15.1",3,19,19,19,5082,-17,4275
6,2,4320,5091,"Power CZ3-19.16-15.1-16.1-18.1",3,19,19,19,5108,-17,4320
6,2,4352,5100,"Power CZ3-19.16-16.1-16.1-17.1",3,19,19,19,5134,-34,4352
6,2,4560,5115,"Power CZ3-19.17-15.1-16.1",3,19,19,19,5133,-18,4560
6,2,4608,5141,"Power CZ3-19.16-16.1-16.1-18.1",3,19,19,19,5159,-18,4608
6,2,4624,5157,"Power CZ3-19.16-16.1-17.1-17.1",3,19,19,19,5190,-33,4624
6,2,4864,5165,"Power CZ3-19.17-16.1-16.1",3,19,19,19,5184,-19,4864
6,2,4896,5198,"Power CZ3-19.16-16.1-17.1-18.1",3,19,19,19,5215,-17,4896
6,2,5130,5213,"Power CZ3-19.17-15.1-18.1",3,19,19,19,5214,-1,5130
6,2,5168,5222,"Power CZ3-19.17-16.1-17.1",3,19,19,19,5240,-18,5168
6,2,5415,5237,"Power CZ3-19.18-15.1",3,19,19,19,5239,-2,5415
6,2,5472,5263,"Power CZ3-19.17-16.1-18.1",3,19,19,19,5265,-2,5472
6,2,5491,5279,"Power CZ3-19.17-17.1-17.1",3,19,19,19,5296,-17,5491
6,2,5776,5287,"Power CZ3-19.18-16.1",3,19,19,19,5290,-3,5776
6,2,5814,5320,"Power CZ3-19.17-17.1-18.1",3,19,19,19,5321,-1,5814
6,2,6137,5344,"Power CZ3-19.18-17.1",3,19,19,19,5346,-2,6137
6,2,6861,5975,"Power CZ3-21.19",3,21,19,19,6023,-48,9261
6,2,6930,6245,"Power CZ3-23.16-15.1-21.1-22.1",3,23,19,19,6357,-112,6930
6,2,6945,6252,"Power CZ3-23.15-22.3-15.1",3,23,19,19,6349,-97,NA
6,2,7245,6258,"Power CZ3-23.17-15.1-21.1",3,23,19,19,6377,-119,7245
6,2,7260,6265,"Power CZ3-23.16-22.2-15.1",3,23,19,19,6369,-104,7260
6,2,7590,6278,"Power CZ3-23.17-15.1-22.1",3,23,19,19,6389,-111,7590
6,2,7935,6291,"Power CZ3-23.18-15.1",3,23,19,19,6409,-118,7935
6,2,8096,6328,"Power CZ3-23.17-16.1-22.1",3,23,19,19,6440,-112,8096
6,2,8464,6341,"Power CZ3-23.18-16.1",3,23,19,19,6460,-119,8464
6,2,8602,6385,"Power CZ3-23.17-17.1-22.1",3,23,19,19,6496,-111,8602
6,2,8993,6398,"Power CZ3-23.18-17.1",3,23,19,19,6516,-118,8993
6,2,9261,6421,"Power CZ3-23.16-22.0-21.3",3,23,19,19,6535,-114,9261
6,2,9282,6428,"Power CZ3-23.15-22.2-21.2",3,23,19,19,6527,-99,NA
6,2,9303,6435,"Power CZ3-23.14-22.4-21.1",3,23,19,19,6519,-84,NA
6,2,9522,6439,"Power CZ3-23.18-18.1",3,23,19,19,6541,-102,9522
6,2,9702,6441,"Power CZ3-23.16-22.1-21.2",3,23,19,19,6547,-106,9702
6,2,9723,6448,"Power CZ3-23.15-22.3-21.1",3,23,19,19,6539,-91,NA
6,2,10000,6454,"Power CZ3-23.17-21.1-21.1",3,23,19,19,6567,-113,10143
3,3,702,225,"Power CZ3-13.4-6.1-9.1",3,13,6,7,252,-27,702
3,3,1014,228,"Power CZ3-13.5-6.1",3,13,6,7,252,-24,1014
3,3,1352,234,"Power CZ3-13.5-8.1",3,13,6,7,261,-27,1352
3,3,1521,237,"Power CZ3-13.5-9.1",3,13,6,7,264,-27,1521
3,3,1690,240,"Power CZ3-13.5-10.1",3,13,6,7,264,-24,1690
3,3,2028,246,"Power CZ3-13.5-12.1",3,13,6,7,264,-18,2028
3,3,2198,249,"Power CZ3-14.6",3,14,6,7,264,-15,2744
3,3,2744,264,"Power CZ3-16.3-14.1-14.1-14.1",3,16,6,7,282,-18,2744
3,3,3136,270,"Power CZ3-16.4-14.1-14.1",3,16,6,7,288,-18,3136
3,3,3584,276,"Power CZ3-16.5-14.1",3,16,6,7,294,-18,3584
3,3,4096,282,"Power CZ3-16.6",3,16,6,7,300,-18,4096
3,3,4352,303,"Power CZ3-17.4-16.1-16.1",3,17,6,7,328,-25,4352
3,3,4608,306,"Power CZ3-19.3-16.1-16.1-18.1",3,19,6,7,332,-26,4608
3,3,4788,308,"Power CZ3-19.4-14.1-18.1",3,19,6,7,334,-26,4788
3,3,4864,312,"Power CZ3-19.4-16.1-16.1",3,19,6,7,332,-20,4864
3,3,4896,313,"Power CZ3-19.3-16.1-17.1-18.1",3,19,6,7,339,-26,4896
3,3,5472,314,"Power CZ3-19.4-16.1-18.1",3,19,6,7,340,-26,5472
3,3,5776,320,"Power CZ3-19.5-16.1",3,19,6,7,340,-20,5776
3,3,5814,321,"Power CZ3-19.4-17.1-18.1",3,19,6,7,347,-26,5814
3,3,6498,322,"Power CZ3-19.5-18.1",3,19,6,7,348,-26,6498
3,3,6859,328,"Power CZ3-19.6",3,19,6,7,348,-20,6859
3,3,6860,330,"Power CZ3-20.6",3,20,6,7,348,-18,8000
3,3,8000,350,"Power CZ3-23.3-20.1-20.1-20.1",3,23,6,7,378,-28,8000
3,3,8800,357,"Power CZ3-23.3-20.1-20.1-22.1",3,23,6,7,385,-28,8800
3,3,8860,358,"Power CZ3-23.1-22.4-20.1",3,23,6,7,386,-28,NA
3,3,9680,364,"Power CZ3-23.3-22.2-20.1",3,23,6,7,392,-28,9680
3,3,9746,365,"Power CZ3-23.1-22.5",3,23,6,7,393,-28,NA
6,3,361,49598,"Power CZ2-19.13",2,19,13,13,51480,-1882,361
6,3,702,67327,"Power CZ2-27.12-26.1",2,27,13,13,67407,-80,702
6,3,729,67477,"Power CZ2-27.13",2,27,13,13,67587,-110,729
5,6,3164,849674,"Power CZ3-23.1-22.7-21.13",3,23,21,21,927370,-77696,NA
5,6,3264,849788,"Power CZ3-23.0-22.9-21.12",3,23,21,21,927513,-77725,NA
5,6,3314,851096,"Power CZ3-23.1-22.8-21.12",3,23,21,21,928857,-77761,NA
5,6,3419,851210,"Power CZ3-23.0-22.10-21.11",3,23,21,21,929000,-77790,NA
5,6,3471,852518,"Power CZ3-23.1-22.9-21.11",3,23,21,21,930344,-77826,NA
5,6,3581,852697,"Power CZ3-23.0-22.11-21.10",3,23,21,21,930487,-77790,NA
5,6,3636,854005,"Power CZ3-23.1-22.10-21.10",3,23,21,21,931831,-77826,NA
5,6,3751,854184,"Power CZ3-23.0-22.12-21.9",3,23,21,21,931974,-77790,NA
5,6,3809,855492,"Power CZ3-23.1-22.11-21.9",3,23,21,21,933318,-77826,NA
5,6,3929,855671,"Power CZ3-23.0-22.13-21.8",3,23,21,21,933461,-77790,NA
5,6,3990,856979,"Power CZ3-23.1-22.12-21.8",3,23,21,21,934805,-77826,NA
5,6,4116,857158,"Power CZ3-23.0-22.14-21.7",3,23,21,21,934948,-77790,NA
5,6,4180,858466,"Power CZ3-23.1-22.13-21.7",3,23,21,21,936292,-77826,NA
5,6,4311,858645,"Power CZ3-23.0-22.15-21.6",3,23,21,21,936435,-77790,NA
5,6,4379,859953,"Power CZ3-23.1-22.14-21.6",3,23,21,21,937779,-77826,NA
5,6,4516,860132,"Power CZ3-23.0-22.16-21.5",3,23,21,21,937922,-77790,NA
5,6,4587,861440,"Power CZ3-23.1-22.15-21.5",3,23,21,21,939266,-77826,NA
5,6,4731,861619,"Power CZ3-23.0-22.17-21.4",3,23,21,21,939409,-77790,NA
5,6,4805,862927,"Power CZ3-23.1-22.16-21.4",3,23,21,21,940753,-77826,NA
5,6,4956,863106,"Power CZ3-23.0-22.18-21.3",3,23,21,21,940896,-77790,NA
5,6,5033,864414,"Power CZ3-23.1-22.17-21.3",3,23,21,21,942240,-77826,NA
5,6,5192,864593,"Power CZ3-23.0-22.19-21.2",3,23,21,21,942383,-77790,NA
5,6,5272,865901,"Power CZ3-23.1-22.18-21.2",3,23,21,21,943727,-77826,NA
5,6,5439,866753,"Power CZ3-23.0-22.20-21.1",3,23,21,21,943870,-77117,NA
5,6,5523,867473,"Power CZ3-23.1-22.19-21.1",3,23,21,21,945214,-77741,NA
5,6,5628,868781,"Power CZ3-23.2-22.18-21.1",3,23,21,21,946558,-77777,NA
5,6,5698,868913,"Power CZ3-23.0-22.21",3,23,21,21,945357,-76444,NA
5,6,5786,869633,"Power CZ3-23.1-22.20",3,23,21,21,946701,-77068,NA
5,6,5896,870353,"Power CZ3-23.2-22.19",3,23,21,21,948045,-77692,NA
5,6,5901,871427,"Power CZ3-23.4-22.16-21.1",3,23,21,21,949246,-77819,NA
5,6,6028,871661,"Power CZ3-23.3-22.18",3,23,21,21,949389,-77728,NA
5,6,6069,872765,"Power CZ3-23.5-22.15-21.1",3,23,21,21,950590,-77825,NA
5,6,6182,872969,"Power CZ3-23.4-22.17",3,23,21,21,950733,-77764,NA
5,6,6258,874109,"Power CZ3-23.6-22.14-21.1",3,23,21,21,951934,-77825,NA
5,6,6358,874307,"Power CZ3-23.5-22.16",3,23,21,21,952077,-77770,NA
5,6,6395,875261,"Power CZ3-23.8-22.11-21.2",3,23,21,21,953135,-77874,NA
5,6,6468,875453,"Power CZ3-23.7-22.13-21.1",3,23,21,21,953278,-77825,NA
5,6,6556,875645,"Power CZ3-23.6-22.15",3,23,21,21,953421,-77776,NA
5,6,6583,876462,"Power CZ3-23.10-22.8-21.3",3,23,21,21,954336,-77874,NA
5,6,6636,876605,"Power CZ3-23.9-22.10-21.2",3,23,21,21,954479,-77874,NA
5,6,6699,876797,"Power CZ3-23.8-22.12-21.1",3,23,21,21,954622,-77825,NA
5,6,6776,876989,"Power CZ3-23.7-22.14",3,23,21,21,954765,-77776,NA
5,6,6783,877634,"Power CZ3-23.13-22.3-21.5",3,23,21,21,955394,-77760,NA
5,6,6814,877693,"Power CZ3-23.12-22.5-21.4",3,23,21,21,955537,-77844,NA
5,6,6851,877806,"Power CZ3-23.11-22.7-21.3",3,23,21,21,955680,-77874,NA
5,6,6896,877949,"Power CZ3-23.10-22.9-21.2",3,23,21,21,955823,-77874,NA
5,6,6951,878141,"Power CZ3-23.9-22.11-21.1",3,23,21,21,955966,-77825,NA
5,6,7018,878333,"Power CZ3-23.8-22.13",3,23,21,21,956109,-77776,NA
5,6,7058,878997,"Power CZ3-23.15-22.0-21.6",3,23,21,21,956595,-77598,NA
5,6,7080,879032,"Power CZ3-23.14-22.2-21.5",3,23,21,21,956738,-77706,NA
5,6,7106,879067,"Power CZ3-23.13-22.4-21.4",3,23,21,21,956881,-77814,NA
5,6,7138,879150,"Power CZ3-23.12-22.6-21.3",3,23,21,21,957024,-77874,NA
5,6,7177,879293,"Power CZ3-23.11-22.8-21.2",3,23,21,21,957167,-77874,NA
5,6,7224,879485,"Power CZ3-23.10-22.10-21.1",3,23,21,21,957310,-77825,NA
5,6,7282,879677,"Power CZ3-23.9-22.12",3,23,21,21,957453,-77776,NA
5,6,7308,880244,"Power CZ3-23.14-22.6-18.1",3,23,21,21,958022,-77778,NA
5,6,7394,880430,"Power CZ3-23.15-22.1-21.5",3,23,21,21,958082,-77652,NA
5,6,7417,880465,"Power CZ3-23.14-22.3-21.4",3,23,21,21,958225,-77760,NA
5,6,7444,880524,"Power CZ3-23.13-22.5-21.3",3,23,21,21,958368,-77844,NA
5,6,7477,880637,"Power CZ3-23.12-22.7-21.2",3,23,21,21,958511,-77874,NA
5,6,7518,880829,"Power CZ3-23.11-22.9-21.1",3,23,21,21,958654,-77825,NA
5,6,7568,881021,"Power CZ3-23.10-22.11",3,23,21,21,958797,-77776,NA
5,6,7581,881549,"Power CZ3-23.18-19.1-19.1-21.1",3,23,21,21,959098,-77549,7581
5,6,7632,881618,"Power CZ3-23.15-22.5-18.1",3,23,21,21,959366,-77748,NA
5,6,7726,881828,"Power CZ3-23.16-22.0-21.5",3,23,21,21,959426,-77598,NA
5,6,7746,881863,"Power CZ3-23.15-22.2-21.4",3,23,21,21,959569,-77706,NA
5,6,7770,881898,"Power CZ3-23.14-22.4-21.3",3,23,21,21,959712,-77814,NA
5,6,7798,881981,"Power CZ3-23.13-22.6-21.2",3,23,21,21,959855,-77874,NA
5,6,7833,882173,"Power CZ3-23.12-22.8-21.1",3,23,21,21,959998,-77825,NA
5,6,7876,882365,"Power CZ3-23.11-22.10",3,23,21,21,960141,-77776,NA
5,6,7938,882824,"Power CZ3-23.18-18.1-21.1-21.1",3,23,21,21,960424,-77600,7938
5,6,7974,882992,"Power CZ3-23.16-22.4-18.1",3,23,21,21,960710,-77718,NA
5,6,7980,883057,"Power CZ3-23.18-19.1-20.1-21.1",3,23,21,21,960606,-77549,7980
5,6,8000,883127,"Power CZ3-23.18-20.1-20.1-20.1",3,23,21,21,960627,-77500,8000
5,6,8093,883261,"Power CZ3-23.16-22.1-21.4",3,23,21,21,960913,-77652,NA
5,6,8114,883296,"Power CZ3-23.15-22.3-21.3",3,23,21,21,961056,-77760,NA
5,6,8139,883355,"Power CZ3-23.14-22.5-21.2",3,23,21,21,961199,-77844,NA
5,6,8169,883517,"Power CZ3-23.13-22.7-21.1",3,23,21,21,961342,-77825,NA
5,6,8206,883709,"Power CZ3-23.12-22.9",3,23,21,21,961485,-77776,NA
5,6,8211,884016,"Power CZ3-23.19-17.1-21.1",3,23,21,21,961572,-77556,8211
5,6,8228,884100,"Power CZ3-23.18-22.2-17.1",3,23,21,21,961715,-77615,8228
