"t","k","v","N_snapshot","N_impl","route","N_built","verified","note"
6,29,2,426,421,"TJ",421,TRUE,"margin 5"
4,173,2,135,134,"TJ",134,TRUE,"margin 1"
4,179,2,142,136,"TJ",136,TRUE,"margin 6"
4,189,2,143,141,"TJ",141,TRUE,"margin 2"
4,192,2,144,142,"TJ",142,TRUE,"margin 2"
4,196,2,145,143,"TJ",143,TRUE,"margin 2"
4,208,2,154,153,"TJ",153,TRUE,"margin 1"
5,128,2,252,251,"TJ",251,TRUE,"margin 1"
4,213,2,156,153,"TJ",153,TRUE,"margin 3"
4,217,2,157,153,"TJ",153,TRUE,"margin 4"
4,222,2,158,153,"TJ",153,TRUE,"margin 5"
5,132,2,260,259,"TJ",259,TRUE,"margin 1"
3,16,10,2223,2215,"CK_doublingCA",2215,TRUE,"margin 8"
3,12,14,3458,3381,"ODbasedCA",3381,TRUE,"margin 77"
3,41,10,2618,2615,"DWYER",2615,TRUE,"margin 3"
3,12,20,9500,9330,"ODbasedCA",9330,TRUE,"margin 170"
6,72,2,718,716,"TJ",716,TRUE,"margin 2, verified on workstation (5 s, 156,238,908 column sets)"
