"child_t","child_k","child_v","child_N","construction","params","ing1_t","ing1_k","ing1_v","ing1_N","ing2_t","ing2_k","ing2_v","ing2_N","confidence","stamp_date","stamp_note"
2,3,2,4,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,3,2,4,"fuseBushtCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,3,2,4,"recBoseCA_PCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,3,2,4,"recBoseCA_CA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,3,2,4,"projBoseCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,3,2,4,"NIST","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,4,2,5,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,10,2,6,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,15,2,7,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,35,2,8,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,56,2,9,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,126,2,10,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,210,2,11,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,462,2,12,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,792,2,13,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,1716,2,14,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,3003,2,15,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,6435,2,16,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,11440,2,17,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
2,20000,2,18,"KSK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,4,2,8,"CK_doublingCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,4,2,8,"fuseBushtCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,5,2,10,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,11,2,12,"PALEY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,12,2,15,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,14,2,16,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,16,2,17,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,20,2,18,"CK_doublingCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,22,2,19,"CK_doublingCA","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,23,2,20,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,23,2,20,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,25,2,21,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,25,2,21,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,26,2,22,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,26,2,22,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,30,2,23,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,38,2,24,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,44,2,25,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,44,2,25,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,46,2,26,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,46,2,26,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,49,2,27,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,49,2,27,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,52,2,28,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,52,2,28,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,55,2,29,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,57,2,30,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,68,2,31,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,68,2,31,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,88,2,32,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,121,2,33,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
