"catalogue","cat_row","construction","ingredient_call","ing_N","ing_k","ing_vmin","ing_vmax","confidence","stamp_date"
"DPcat",1,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",1,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",2,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",2,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",3,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",3,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",4,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",4,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3)",19,16,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",4,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",4,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",5,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",5,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3)",19,16,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",5,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",5,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",6,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",6,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], CS_CMMSSY(6, 3)[, 1:5], 3)",21,20,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",6,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",6,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",7,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",7,"productCA","productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3)",25,48,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",7,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",7,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3)",19,16,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",7,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",7,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",8,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",8,"productCA","productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3)",25,48,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",8,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",8,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3)",19,16,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",8,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
