"family","entries","share"
"CPHF family",3409,24.99
"direct product",2120,15.54
"Martirosyan-TVT family",1234,9.05
"add factors",550,4.03
"PCA product",545,4
"orthogonal array",352,2.58
"Cohen-Colbourn-Ling",326,2.39
"cyclotomy",229,1.68
"simulated annealing",201,1.47
"projection",144,1.06
"Chateauneuf-Kreher doubling",122,0.89
"augment OA",103,0.76
"IPOG family",92,0.67
"SBSTT",76,0.56
"derive/drop",71,0.52
"Add Factor SO",70,0.51
"Power N-CT79^2Arc",57,0.42
"Density Cyclic",56,0.41
"two-stage SA",51,0.37
"SIPO",43,0.32
"Raaphorst-Moura-Stevens",42,0.31
"Power N-CT101^2Arc",36,0.26
"Fix 1 symbols",35,0.26
"Power N-CT97^2Arc",33,0.24
"Add a factor",31,0.23
"Power N-CT83^2Arc",29,0.21
"Power N-CT53^2Arc",28,0.21
"CA Extender",27,0.2
"Power N-CT47^2Arc",24,0.18
"Fix 5 symbols",21,0.15
"Power N-CT67^2Arc",21,0.15
"Paley/quadratic residue",19,0.14
"cover starter",18,0.13
"Cyclic",17,0.12
"Torres Jimenez",16,0.12
"Fix 4 symbols",15,0.11
"Kleitman and Spencer, or Katona",15,0.11
"Power N-CT101^2",13,0.1
"Power N-CT73^2Arc",13,0.1
"perfect hash family4,3125,625",13,0.1
"Power N-CT71^2Arc",12,0.09
"extended OA",12,0.09
"ordered design",12,0.09
"Fix 3 symbols (LCDST) TJ-SA",11,0.08
"Power N-CT31^2",11,0.08
"Power N-CT41^2",11,0.08
"Power N-CT89^2Arc",11,0.08
"Torres-Jimenez",11,0.08
"Fix 6 symbols",10,0.07
"Power CT41^2Arc",10,0.07
"Power CT59^2Arc",10,0.07
"Power N-CT43^2T2",10,0.07
"Power N-CT73^2T7",10,0.07
"composition",10,0.07
"Fix 2 symbols",9,0.07
"Fix 7 symbols",9,0.07
"Power CT27^2+1",9,0.07
"Power CT27^2T1",9,0.07
"Power CT27^2T1T1",9,0.07
"Power N-CT43^2+2",9,0.07
"Power CT25^2",8,0.06
"Power N-CT29^2",8,0.06
"Power N-CT41^2T10",8,0.06
"Power N-CT41^2T2T2",8,0.06
"Power N-CT73^2T3",8,0.06
"Power N-CT89^2T23",8,0.06
"cross-sum",8,0.06
"extended OA (Colbourn) special",8,0.06
"Add a symbol",7,0.05
"Power N-CT31^2T1",7,0.05
"Power N-CT41^2T7",7,0.05
"Power N-CT47^2+2",7,0.05
"Power N-CT47^2T1",7,0.05
"Power N-CT47^2T1T1",7,0.05
"Power N-CT47^2T2",7,0.05
"Power N-CT47^2T6",7,0.05
"Power N-CT53^2+1",7,0.05
"Power N-CT53^2+3",7,0.05
"Power N-CT61^2",7,0.05
"Power N-CT61^2T5",7,0.05
"Power N-CT61^2T8",7,0.05
"Power N-CT73^2",7,0.05
"Power N-CT73^2T17",7,0.05
"Power N-CT79^2+3",7,0.05
"Power N-CT89^2",7,0.05
"Power N-CT89^2T7",7,0.05
"Ji-Li-Yin",6,0.04
"Power CT19^2+1",6,0.04
"Power CT25^2+1",6,0.04
"Power CT53^2Arc",6,0.04
"Power N-CT29^2Arc",6,0.04
"Power N-CT29^2T1",6,0.04
"Power N-CT29^2T2",6,0.04
"Power N-CT31^2T2",6,0.04
"Power N-CT41^2T2",6,0.04
"Power N-CT41^2T4",6,0.04
"Power N-CT43^2",6,0.04
"Power N-CT43^2Arc",6,0.04
"Power N-CT43^2T10",6,0.04
"Power N-CT53^2T4",6,0.04
"Power N-CT53^2T4T4",6,0.04
"Power N-CT53^2T7",6,0.04
"Power N-CT53^2Trin4,4,4",6,0.04
"Power N-CT61^2Arc",6,0.04
"Power N-CT73^2T11",6,0.04
"Power N-CT73^2T3T3",6,0.04
"Power N-CT73^2T9",6,0.04
"Power N-CT73^2Trin3,3,28",6,0.04
"Power N-CT79^2T1T1",6,0.04
"Power N-CT89^2T12",6,0.04
"Power N-CT89^2T25",6,0.04
"perfect hash family16,625,25,c",6,0.04
"tabu search",6,0.04
"Cyclic, derived",5,0.04
"Fix 2 symbols (LCDST) TJ-SA",5,0.04
"PGL",5,0.04
"Power CT25^2T2",5,0.04
"Power CT27^2Arc",5,0.04
"Power CT32^2T1",5,0.04
"Power N-CT101^2Arc(13)T2",5,0.04
"Power N-CT31^2T1T1",5,0.04
"Power N-CT31^2T5",5,0.04
"Power N-CT31^2T6",5,0.04
"Power N-CT37^2+2",5,0.04
"Power N-CT37^2T4",5,0.04
"Power N-CT43^2+3",5,0.04
"Power N-CT43^2T3",5,0.04
"Power N-CT43^2T9",5,0.04
"Power N-CT47^2T2T2",5,0.04
"Power N-CT47^2T3",5,0.04
"Power N-CT47^2T8",5,0.04
"Power N-CT47^2T9",5,0.04
"Power N-CT67^2",5,0.04
"Power N-CT67^2T7",5,0.04
"Power N-CT73^2+1",5,0.04
"Power N-CT73^2+3",5,0.04
"Power N-CT73^2T20",5,0.04
"Power N-CT73^2T6",5,0.04
"Power N-CT79^2T23",5,0.04
"Power N-CT83^2+2",5,0.04
"Power N-CT83^2T5",5,0.04
"Power N-CT89^2Trin4,4,4",5,0.04
"Power N-CT97^2+3",5,0.04
"Power N-CT97^2T8",5,0.04
"perfect hash family13,5334,78",5,0.04
"perfect hash family4,3125,625T171",5,0.04
"perfect hash family4,3125,625T246",5,0.04
"Density",4,0.03
"Ji-Yin",4,0.03
"Li-Ji-Yin",4,0.03
"Power CT17^2",4,0.03
"Power CT23^2+1",4,0.03
"Power CT25^2Arc",4,0.03
"Power CT25^2T1",4,0.03
"Power CT25^2T1T1",4,0.03
"Power CT27^2Arc(2)T2",4,0.03
"Power CT27^2T2",4,0.03
"Power CT27^2T2T1",4,0.03
"Power CT32^2+3",4,0.03
"Power N-CT101^2T1T1",4,0.03
"Power N-CT29^2+1",4,0.03
"Power N-CT29^2T1T1",4,0.03
"Power N-CT31^2Arc",4,0.03
