"t","k","v","N","type","q","mode","ok","note"
3,38,4,152,"4a",37,"FULL",TRUE,"FULL"
3,54,4,212,"3a",53,"FULL",TRUE,"FULL"
3,104,6,624,"4a",103,"FULL",TRUE,"FULL"
3,122,6,726,"3a",121,"FULL",TRUE,"FULL"
3,128,6,762,"3a",127,"FULL",FALSE,"FAILS(FULL)"
3,152,6,906,"3a",151,"FULL",TRUE,"FULL"
3,164,6,978,"3a",163,"FULL",TRUE,"FULL"
3,170,6,1020,"4a",169,"FULL",TRUE,"FULL"
3,170,7,1183,"3a",169,"FULL",TRUE,"FULL"
3,194,8,1552,"4a",193,"FULL",TRUE,"FULL"
3,242,8,1936,"4a",241,"FULL",TRUE,"FULL"
3,362,10,3610,"3a",361,"SCREEN50",TRUE,"SCREEN50"
3,522,10,5210,"3a",521,"SCREEN50",TRUE,"SCREEN50"
3,572,10,5710,"3a",571,"SCREEN50",TRUE,"SCREEN50"
3,398,11,4378,"4a",397,"SCREEN50",TRUE,"SCREEN50"
3,602,12,7224,"4a",601,"SCREEN50",TRUE,"SCREEN50"
3,614,12,7356,"3a",613,"SCREEN50",TRUE,"SCREEN50"
3,710,12,8520,"4a",709,"SCREEN50",TRUE,"SCREEN50"
3,884,14,12376,"4a",883,"SCREEN50",TRUE,"SCREEN50"
3,1052,14,14714,"3a",1051,"SCREEN50",TRUE,"SCREEN50"
3,1094,14,15302,"3a",1093,"SCREEN50",TRUE,"SCREEN50"
3,1164,14,16282,"3a",1163,"SCREEN50",TRUE,"SCREEN50"
3,1298,18,23364,"4a",1297,"SCREEN50",TRUE,"SCREEN50"
3,1802,20,36040,"4a",1801,"SCREEN50",TRUE,"SCREEN50"
3,2142,20,42840,"4a",2141,"SCREEN50",TRUE,"SCREEN50"
3,2162,20,43220,"3a",2161,"SCREEN50",FALSE,"FAILS(SCREEN50)"
3,2342,20,46820,"3a",2341,"SCREEN50",TRUE,"SCREEN50"
3,2270,21,47670,"4a",2269,"SCREEN50",TRUE,"SCREEN50"
3,2312,21,48531,"3a",2311,"SCREEN50",FALSE,"FAILS(SCREEN50)"
4,12,2,24,"4b",11,"FULL",TRUE,"FULL"
4,24,2,46,"3a",23,"FULL",TRUE,"FULL"
4,67,2,67,"1",67,"FULL",TRUE,"FULL"
