"t","k","v","type","q","result"
3,362,10,"3a",361,"pass"
3,522,10,"3a",521,"pass"
3,572,10,"3a",571,"pass"
3,398,11,"4a",397,"pass"
3,602,12,"4a",601,"pass"
3,614,12,"3a",613,"pass"
3,710,12,"4a",709,"pass"
3,884,14,"4a",883,"pass"
3,1052,14,"3a",1051,"pass"
3,1094,14,"3a",1093,"pass"
3,1164,14,"3a",1163,"pass"
3,1298,18,"4a",1297,"pass"
3,1802,20,"4a",1801,"pass"
3,2142,20,"4a",2141,"pass"
3,2342,20,"3a",2341,"pass"
3,2270,21,"4a",2269,"pass"
4,224,3,"3a",223,"pass"
4,230,3,"3a",229,"pass"
4,272,3,"3a",271,"pass"
4,278,3,"3a",277,"pass"
4,1051,3,"1",1051,"pass"
4,1069,3,"1",1069,"pass"
4,1087,3,"1",1087,"pass"
4,1093,3,"1",1093,"pass"
4,1117,3,"2",1117,"pass"
4,1123,3,"1",1123,"pass"
4,1129,3,"1",1129,"pass"
4,1171,3,"1",1171,"pass"
4,1213,3,"1",1213,"pass"
4,1231,3,"1",1231,"pass"
4,1249,3,"1",1249,"pass"
4,1279,3,"1",1279,"pass"
4,1291,3,"1",1291,"pass"
4,1297,3,"1",1297,"pass"
4,1303,3,"1",1303,"pass"
4,1321,3,"2",1321,"pass"
4,1327,3,"1",1327,"pass"
4,1381,3,"1",1381,"pass"
4,1399,3,"1",1399,"pass"
4,1423,3,"1",1423,"pass"
4,1429,3,"2",1429,"pass"
4,1447,3,"1",1447,"pass"
4,1453,3,"1",1453,"pass"
4,1459,3,"1",1459,"pass"
4,1471,3,"1",1471,"pass"
4,1483,3,"1",1483,"pass"
4,1489,3,"1",1489,"pass"
4,1531,3,"1",1531,"pass"
4,1543,3,"1",1543,"pass"
4,1549,3,"1",1549,"pass"
4,1567,3,"1",1567,"pass"
4,1579,3,"1",1579,"pass"
4,1597,3,"1",1597,"pass"
4,462,4,"4a",461,"pass"
4,558,4,"4a",557,"pass"
4,614,4,"3a",613,"pass"
4,654,4,"3a",653,"pass"
4,678,4,"3a",677,"pass"
4,702,4,"3a",701,"pass"
4,734,4,"3a",733,"pass"
4,758,4,"3a",757,"pass"
4,774,4,"3a",773,"pass"
4,798,4,"3a",797,"pass"
4,2648,6,"4a",2647,"pass"
4,2768,6,"4a",2767,"pass"
4,3020,6,"3a",3019,"pass"
4,3260,6,"4a",3259,"pass"
4,3272,6,"3a",3271,"pass"
4,3320,6,"3a",3319,"pass"
4,3332,6,"4a",3331,"pass"
4,3344,6,"3a",3343,"pass"
4,3464,6,"3a",3463,"pass"
4,3500,6,"3a",3499,"pass"
4,3584,6,"3a",3583,"pass"
4,3608,6,"3a",3607,"pass"
4,3632,6,"3a",3631,"pass"
4,3644,6,"3a",3643,"pass"
4,3692,6,"3a",3691,"pass"
4,3728,6,"3a",3727,"pass"
4,3824,6,"3a",3823,"pass"
4,3848,6,"3a",3847,"pass"
4,3908,6,"3a",3907,"pass"
4,3932,6,"3a",3931,"pass"
4,3944,6,"3a",3943,"pass"
4,4004,6,"3a",4003,"pass"
4,4028,6,"3a",4027,"pass"
4,6344,7,"3a",6343,"pass"
4,6764,7,"3a",6763,"pass"
4,8762,8,"3a",8761,"pass"
4,8970,8,"3a",8969,"pass"
4,9050,8,"3a",9049,"pass"
4,9338,8,"3a",9337,"pass"
4,9722,8,"3a",9721,"pass"
4,9818,8,"3a",9817,"pass"
4,9834,8,"3a",9833,"pass"
4,10009,8,"3",10009,"pass"
5,433,2,"2",433,"pass"
5,523,2,"1",523,"pass"
5,541,2,"1",541,"pass"
5,547,2,"1",547,"pass"
5,557,2,"1",557,"pass"
5,563,2,"1",563,"pass"
5,569,2,"2",569,"pass"
5,571,2,"1",571,"pass"
5,577,2,"1",577,"pass"
5,587,2,"1",587,"pass"
5,593,2,"1",593,"pass"
5,599,2,"1",599,"pass"
5,601,2,"1",601,"pass"
5,607,2,"1",607,"pass"
5,613,2,"1",613,"pass"
5,1051,3,"4",1051,"pass"
5,1069,3,"4",1069,"pass"
5,1087,3,"4",1087,"pass"
5,1093,3,"4",1093,"pass"
5,1123,3,"3",1123,"pass"
5,1129,3,"4",1129,"pass"
5,1171,3,"4",1171,"pass"
5,1213,3,"4",1213,"pass"
5,1231,3,"4",1231,"pass"
5,1249,3,"4",1249,"pass"
5,1279,3,"4",1279,"pass"
5,1291,3,"4",1291,"pass"
5,1297,3,"3",1297,"pass"
5,1303,3,"3",1303,"pass"
5,1327,3,"3",1327,"pass"
5,1381,3,"3",1381,"pass"
5,1399,3,"3",1399,"pass"
5,1423,3,"3",1423,"pass"
5,1447,3,"3",1447,"pass"
5,1453,3,"3",1453,"pass"
5,1459,3,"3",1459,"pass"
5,1471,3,"3",1471,"pass"
5,1483,3,"3",1483,"pass"
5,1489,3,"3",1489,"pass"
5,1531,3,"3",1531,"pass"
5,1543,3,"3",1543,"pass"
5,1549,3,"3",1549,"pass"
5,1567,3,"3",1567,"pass"
5,1579,3,"3",1579,"pass"
5,1597,3,"3",1597,"pass"
5,1609,3,"3",1609,"pass"
5,1621,3,"3",1621,"pass"
5,1627,3,"3",1627,"pass"
5,1657,3,"3",1657,"pass"
5,1663,3,"3",1663,"pass"
5,1669,3,"3",1669,"pass"
5,1693,3,"3",1693,"pass"
5,1699,3,"3",1699,"pass"
5,1723,3,"3",1723,"pass"
5,1741,3,"3",1741,"pass"
5,1747,3,"3",1747,"pass"
5,1753,3,"3",1753,"pass"
5,1759,3,"3",1759,"pass"
5,6983,3,"1",6983,"pass"
5,7013,3,"1",7013,"pass"
5,10007,3,"1",10007,"pass"
6,1231,2,"1",1231,"pass"
6,1283,2,"1",1283,"pass"
6,1319,2,"1",1319,"pass"
6,1361,2,"1",1361,"pass"
6,1367,2,"1",1367,"pass"
6,1373,2,"1",1373,"pass"
6,1381,2,"1",1381,"pass"
6,1423,2,"1",1423,"pass"
6,1427,2,"1",1427,"pass"
6,1429,2,"1",1429,"pass"
6,1439,2,"1",1439,"pass"
6,1447,2,"1",1447,"pass"
6,1459,2,"1",1459,"pass"
6,1483,2,"1",1483,"pass"
6,1487,2,"1",1487,"pass"
6,1493,2,"1",1493,"pass"
6,1499,2,"1",1499,"pass"
6,1511,2,"1",1511,"pass"
6,1523,2,"1",1523,"pass"
6,1549,2,"1",1549,"pass"
6,1559,2,"1",1559,"pass"
6,1567,2,"1",1567,"pass"
6,1571,2,"1",1571,"pass"
6,1579,2,"1",1579,"pass"
6,1583,2,"1",1583,"pass"
6,1597,2,"1",1597,"pass"
6,1601,2,"1",1601,"pass"
6,1607,2,"1",1607,"pass"
6,1609,2,"1",1609,"pass"
6,1613,2,"1",1613,"pass"
6,1619,2,"1",1619,"pass"
6,1621,2,"1",1621,"pass"
6,1627,2,"1",1627,"pass"
6,1997,2,"1",1997,"pass"
6,1999,2,"1",1999,"pass"
6,2003,2,"1",2003,"pass"
6,2503,2,"1",2503,"pass"
