"t","k","v","N_snapshot","N_built","verified","size_ok","note"
2,3,2,4,4,TRUE,TRUE,"EXECUTED"
2,4,2,5,5,TRUE,TRUE,"EXECUTED"
3,4,2,8,8,TRUE,TRUE,"EXECUTED"
2,4,3,9,9,TRUE,TRUE,"EXECUTED"
3,5,2,10,10,TRUE,TRUE,"EXECUTED"
2,5,3,11,11,TRUE,TRUE,"EXECUTED"
2,10,2,6,6,TRUE,TRUE,"EXECUTED"
4,5,2,16,16,TRUE,TRUE,"EXECUTED"
2,7,3,12,12,TRUE,TRUE,"EXECUTED"
2,5,4,16,16,TRUE,TRUE,"EXECUTED"
3,4,3,27,27,TRUE,TRUE,"EXECUTED"
2,15,2,7,7,TRUE,TRUE,"EXECUTED"
2,3,6,36,36,TRUE,TRUE,"EXECUTED"
2,9,3,13,13,TRUE,TRUE,"EXECUTED"
2,6,4,19,19,TRUE,TRUE,"EXECUTED"
4,6,2,21,21,TRUE,TRUE,"EXECUTED"
2,10,3,14,14,TRUE,TRUE,"EXECUTED"
5,6,2,32,32,TRUE,TRUE,"EXECUTED"
2,7,4,21,21,TRUE,TRUE,"EXECUTED"
2,4,6,37,37,TRUE,TRUE,"EXECUTED"
2,6,5,25,25,TRUE,TRUE,"EXECUTED"
2,5,6,39,39,TRUE,TRUE,"EXECUTED"
2,7,5,29,29,TRUE,TRUE,"EXECUTED"
3,11,2,12,12,TRUE,TRUE,"EXECUTED"
3,6,3,33,33,TRUE,TRUE,"EXECUTED"
2,35,2,8,8,TRUE,TRUE,"EXECUTED"
2,6,6,41,41,TRUE,TRUE,"EXECUTED"
2,8,5,33,33,TRUE,TRUE,"EXECUTED"
2,12,4,24,24,TRUE,TRUE,"EXECUTED"
2,20,3,15,15,TRUE,TRUE,"EXECUTED"
3,12,2,15,15,TRUE,TRUE,"EXECUTED"
5,7,2,42,42,TRUE,TRUE,"EXECUTED"
6,7,2,64,64,TRUE,TRUE,"EXECUTED"
2,21,3,16,16,TRUE,TRUE,"EXECUTED"
2,13,4,25,25,TRUE,TRUE,"EXECUTED"
2,9,5,35,35,TRUE,TRUE,"EXECUTED"
4,5,3,81,81,TRUE,TRUE,"EXECUTED"
3,7,3,39,39,TRUE,TRUE,"EXECUTED"
2,10,5,36,36,TRUE,TRUE,"EXECUTED"
2,15,4,26,26,TRUE,TRUE,"EXECUTED"
3,14,2,16,16,TRUE,TRUE,"EXECUTED"
2,56,2,9,9,TRUE,TRUE,"EXECUTED"
2,9,6,46,46,TRUE,TRUE,"EXECUTED"
2,4,10,100,100,TRUE,TRUE,"EXECUTED"
2,29,3,17,17,TRUE,TRUE,"EXECUTED"
3,8,3,42,42,TRUE,TRUE,"EXECUTED"
2,8,7,49,49,TRUE,TRUE,"EXECUTED"
3,16,2,17,17,TRUE,TRUE,"EXECUTED"
3,6,4,64,64,TRUE,TRUE,"EXECUTED"
5,8,2,52,52,TRUE,TRUE,"EXECUTED"
2,9,7,59,59,TRUE,TRUE,"EXECUTED"
2,24,4,28,28,TRUE,TRUE,"EXECUTED"
2,10,7,61,61,TRUE,TRUE,"EXECUTED"
4,6,3,111,111,TRUE,TRUE,"EXECUTED"
2,9,8,64,64,TRUE,TRUE,"EXECUTED"
6,8,2,85,85,TRUE,TRUE,"EXECUTED"
3,20,2,18,18,TRUE,TRUE,"EXECUTED"
2,46,3,18,18,TRUE,TRUE,"EXECUTED"
3,4,6,216,216,TRUE,TRUE,"EXECUTED"
4,12,2,24,24,TRUE,TRUE,"EXECUTED"
2,49,3,19,19,TRUE,TRUE,"EXECUTED"
5,9,2,54,54,TRUE,TRUE,"EXECUTED"
3,22,2,19,19,TRUE,TRUE,"EXECUTED"
2,11,8,78,78,TRUE,TRUE,"EXECUTED"
3,23,2,20,20,TRUE,TRUE,"EXECUTED"
2,10,9,81,81,TRUE,TRUE,"EXECUTED"
3,6,5,125,125,TRUE,TRUE,"EXECUTED"
2,126,2,10,10,TRUE,TRUE,"EXECUTED"
3,8,4,88,88,TRUE,TRUE,"EXECUTED"
4,5,4,256,256,TRUE,TRUE,"EXECUTED"
4,7,3,123,123,TRUE,TRUE,"EXECUTED"
2,63,3,20,20,TRUE,TRUE,"EXECUTED"
5,6,3,243,243,TRUE,TRUE,"EXECUTED"
4,13,2,32,32,TRUE,TRUE,"EXECUTED"
3,25,2,21,21,TRUE,TRUE,"EXECUTED"
2,7,12,144,144,TRUE,TRUE,"EXECUTED"
5,10,2,56,56,TRUE,TRUE,"EXECUTED"
3,26,2,22,22,TRUE,TRUE,"EXECUTED"
3,5,6,240,240,TRUE,TRUE,"EXECUTED"
6,9,2,108,108,TRUE,TRUE,"EXECUTED"
2,13,9,105,105,TRUE,TRUE,"EXECUTED"
2,35,5,45,45,TRUE,TRUE,"EXECUTED"
3,30,2,23,23,TRUE,TRUE,"EXECUTED"
2,93,3,21,21,TRUE,TRUE,"EXECUTED"
2,13,10,120,120,TRUE,TRUE,"EXECUTED"
2,210,2,11,11,TRUE,TRUE,"EXECUTED"
2,12,11,121,121,TRUE,TRUE,"EXECUTED"
3,6,6,258,258,TRUE,TRUE,"EXECUTED"
2,107,3,22,22,TRUE,TRUE,"EXECUTED"
4,6,4,340,340,TRUE,TRUE,"EXECUTED"
4,17,2,35,35,TRUE,TRUE,"EXECUTED"
2,15,10,136,136,TRUE,TRUE,"EXECUTED"
6,10,2,116,116,TRUE,TRUE,"EXECUTED"
3,38,2,24,24,TRUE,TRUE,"EXECUTED"
2,16,10,145,145,TRUE,TRUE,"EXECUTED"
4,18,2,36,36,TRUE,TRUE,"EXECUTED"
5,7,3,351,351,TRUE,TRUE,"EXECUTED"
2,138,3,23,23,TRUE,TRUE,"EXECUTED"
2,14,12,165,165,TRUE,TRUE,"EXECUTED"
2,16,11,161,161,TRUE,TRUE,"EXECUTED"
2,15,12,168,168,TRUE,TRUE,"EXECUTED"
2,14,13,169,169,TRUE,TRUE,"EXECUTED"
3,44,2,25,25,TRUE,TRUE,"EXECUTED"
3,10,5,185,185,TRUE,TRUE,"EXECUTED"
2,17,11,171,171,TRUE,TRUE,"EXECUTED"
2,20,10,155,155,TRUE,TRUE,"EXECUTED"
4,20,2,39,39,TRUE,TRUE,"EXECUTED"
3,46,2,26,26,TRUE,TRUE,"EXECUTED"
6,11,2,118,118,TRUE,TRUE,"EXECUTED"
6,7,3,729,729,TRUE,TRUE,"EXECUTED"
3,49,2,27,27,TRUE,TRUE,"EXECUTED"
3,4,10,1000,1000,TRUE,TRUE,"EXECUTED"
4,21,2,42,42,TRUE,TRUE,"EXECUTED"
5,14,2,64,64,TRUE,TRUE,"EXECUTED"
2,199,3,24,24,TRUE,TRUE,"EXECUTED"
2,18,12,199,199,TRUE,TRUE,"EXECUTED"
3,52,2,28,28,TRUE,TRUE,"EXECUTED"
2,462,2,12,12,TRUE,TRUE,"EXECUTED"
4,22,2,44,44,TRUE,TRUE,"EXECUTED"
2,19,12,210,210,TRUE,TRUE,"EXECUTED"
2,216,3,25,25,TRUE,TRUE,"EXECUTED"
2,18,13,217,217,TRUE,TRUE,"EXECUTED"
4,6,5,625,625,TRUE,TRUE,"EXECUTED"
2,20,12,221,221,TRUE,TRUE,"EXECUTED"
3,55,2,29,29,TRUE,TRUE,"EXECUTED"
3,12,5,225,225,TRUE,TRUE,"EXECUTED"
5,6,4,1024,1024,TRUE,TRUE,"EXECUTED"
3,8,7,343,343,TRUE,TRUE,"EXECUTED"
2,19,13,229,229,TRUE,TRUE,"EXECUTED"
3,57,2,30,30,TRUE,TRUE,"EXECUTED"
5,15,2,79,79,TRUE,TRUE,"EXECUTED"
2,20,13,241,241,TRUE,TRUE,"EXECUTED"
4,24,2,46,46,TRUE,TRUE,"EXECUTED"
4,5,6,1296,1296,TRUE,TRUE,"EXECUTED"
2,63,7,91,91,TRUE,TRUE,"EXECUTED"
2,18,15,255,255,TRUE,TRUE,"EXECUTED"
2,17,16,256,256,TRUE,TRUE,"EXECUTED"
2,21,13,253,253,TRUE,TRUE,"EXECUTED"
2,64,7,96,96,TRUE,TRUE,"EXECUTED"
2,288,3,26,26,TRUE,TRUE,"EXECUTED"
4,25,2,50,50,TRUE,TRUE,"EXECUTED"
2,25,12,242,242,TRUE,TRUE,"EXECUTED"
2,18,16,286,286,TRUE,TRUE,"EXECUTED"
2,21,14,274,274,TRUE,TRUE,"EXECUTED"
4,26,2,51,51,TRUE,TRUE,"EXECUTED"
3,68,2,31,31,TRUE,TRUE,"EXECUTED"
2,19,16,288,288,TRUE,TRUE,"EXECUTED"
2,18,17,289,289,TRUE,TRUE,"EXECUTED"
