"t","k","v","N_snapshot","N_built","note"
5,107,4,10231,10231,"SCREEN4_PASS"
4,26,21,390617,390617,"SCREEN4_PASS"
4,62,13,85681,85681,"SCREEN4_PASS"
4,26,22,390619,390619,"SCREEN4_PASS"
4,26,23,390621,390621,"SCREEN4_PASS"
4,149,8,20476,20476,"SCREEN4_PASS"
5,431,2,430,430,"SCREEN4_PASS"
5,433,2,434,434,"SCREEN4_PASS"
5,37,8,131069,131069,"SCREEN4_PASS"
4,26,24,390623,390623,"SCREEN4_PASS"
4,28,21,531429,531429,"SCREEN4_PASS"
4,26,25,390625,390625,"SCREEN4_PASS"
4,558,4,2232,2232,"SCREEN4_PASS"
4,28,22,531431,531431,"SCREEN4_PASS"
5,463,2,462,462,"SCREEN4_PASS"
5,467,2,466,466,"SCREEN4_PASS"
4,28,23,531433,531433,"SCREEN4_PASS"
3,7523,4,694,694,"SCREEN4_PASS"
5,487,2,486,486,"SCREEN4_PASS"
4,225,7,14401,14401,"SCREEN4_PASS"
4,28,24,531435,531435,"SCREEN4_PASS"
5,491,2,490,490,"SCREEN4_PASS"
3,2409,8,3067,3067,"SCREEN4_PASS"
4,614,4,2452,2452,"SCREEN4_PASS"
3,884,14,12376,12376,"SCREEN4_PASS"
5,499,2,498,498,"SCREEN4_PASS"
4,28,25,531437,531437,"SCREEN4_PASS"
3,5683,5,1117,1117,"SCREEN4_PASS"
4,1051,3,1051,1051,"SCREEN4_PASS"
5,509,2,509,509,"SCREEN4_PASS"
4,1069,3,1069,1069,"SCREEN4_PASS"
4,654,4,2612,2612,"SCREEN4_PASS"
4,1087,3,1087,1087,"SCREEN4_PASS"
5,521,2,521,521,"SCREEN4_PASS"
4,1093,3,1093,1093,"SCREEN4_PASS"
5,143,4,11254,11254,"SCREEN4_PASS"
5,523,2,523,523,"SCREEN4_PASS"
6,19,8,786430,786430,"SCREEN4_PASS"
4,114,11,58561,58561,"SCREEN4_PASS"
4,1117,3,1119,1119,"SCREEN4_PASS"
4,1123,3,1123,1123,"SCREEN4_PASS"
4,678,4,2708,2708,"SCREEN4_PASS"
4,1129,3,1129,1129,"SCREEN4_PASS"
4,30,24,707271,707271,"SCREEN4_PASS"
5,541,2,541,541,"SCREEN4_PASS"
5,547,2,547,547,"SCREEN4_PASS"
4,702,4,2804,2804,"SCREEN4_PASS"
4,1171,3,1171,1171,"SCREEN4_PASS"
4,30,25,707273,707273,"SCREEN4_PASS"
3,1052,14,14714,14714,"SCREEN4_PASS"
5,557,2,557,557,"SCREEN4_PASS"
4,175,9,32801,32801,"SCREEN4_PASS"
5,563,2,563,563,"SCREEN4_PASS"
4,1213,3,1213,1213,"SCREEN4_PASS"
5,569,2,570,570,"SCREEN4_PASS"
4,734,4,2932,2932,"SCREEN4_PASS"
5,571,2,571,571,"SCREEN4_PASS"
3,1094,14,15302,15302,"SCREEN4_PASS"
4,1231,3,1231,1231,"SCREEN4_PASS"
3,4113,7,2395,2395,"SCREEN4_PASS"
5,577,2,577,577,"SCREEN4_PASS"
6,25,7,470593,470593,"SCREEN4_PASS"
4,1249,3,1249,1249,"SCREEN4_PASS"
4,758,4,3028,3028,"SCREEN4_PASS"
5,587,2,587,587,"SCREEN4_PASS"
5,30,11,483151,483151,"SCREEN4_PASS"
5,593,2,593,593,"SCREEN4_PASS"
4,1279,3,1279,1279,"SCREEN4_PASS"
3,1164,14,16282,16282,"SCREEN4_PASS"
4,774,4,3092,3092,"SCREEN4_PASS"
4,1291,3,1291,1291,"SCREEN4_PASS"
5,599,2,599,599,"SCREEN4_PASS"
4,1297,3,1297,1297,"SCREEN4_PASS"
5,601,2,601,601,"SCREEN4_PASS"
4,1303,3,1303,1303,"SCREEN4_PASS"
5,607,2,607,607,"SCREEN4_PASS"
4,1321,3,1323,1323,"SCREEN4_PASS"
4,798,4,3188,3188,"SCREEN4_PASS"
4,1327,3,1327,1327,"SCREEN4_PASS"
5,613,2,613,613,"SCREEN4_PASS"
4,75,16,196606,196606,"SCREEN4_PASS"
4,1381,3,1381,1381,"SCREEN4_PASS"
4,1399,3,1399,1399,"SCREEN4_PASS"
4,1423,3,1423,1423,"SCREEN4_PASS"
4,1429,3,1431,1431,"SCREEN4_PASS"
4,267,8,24571,24571,"SCREEN4_PASS"
4,1447,3,1447,1447,"SCREEN4_PASS"
3,3430,9,4369,4369,"SCREEN4_PASS"
4,1453,3,1453,1453,"SCREEN4_PASS"
4,1459,3,1459,1459,"SCREEN4_PASS"
4,1471,3,1471,1471,"SCREEN4_PASS"
4,1483,3,1483,1483,"SCREEN4_PASS"
4,1489,3,1489,1489,"SCREEN4_PASS"
4,1494,3,1521,1521,"SCREEN4_PASS"
4,1531,3,1531,1531,"SCREEN4_PASS"
4,1543,3,1543,1543,"SCREEN4_PASS"
4,1549,3,1549,1549,"SCREEN4_PASS"
4,1567,3,1567,1567,"SCREEN4_PASS"
4,1579,3,1579,1579,"SCREEN4_PASS"
4,80,17,250561,250561,"SCREEN4_PASS"
4,1597,3,1597,1597,"SCREEN4_PASS"
4,389,7,16801,16801,"SCREEN4_PASS"
3,1298,18,23364,23364,"SCREEN4_PASS"
4,143,13,114241,114241,"SCREEN4_PASS"
3,6522,8,3578,3578,"SCREEN4_PASS"
4,2026,3,1601,1601,"SCREEN4_PASS"
5,252,4,13300,13300,"SCREEN4_PASS"
4,89,19,390961,390961,"SCREEN4_PASS"
6,360,2,720,720,"SCREEN4_PASS"
4,1376,4,3571,3571,"SCREEN4_PASS"
4,339,9,39361,39361,"SCREEN4_PASS"
4,239,11,73201,73201,"SCREEN4_PASS"
3,10000,7,2737,2737,"SCREEN4_PASS"
6,379,2,758,758,"SCREEN4_PASS"
3,1802,20,36040,36040,"SCREEN4_PASS"
4,491,8,28666,28666,"SCREEN4_PASS"
4,2694,3,1681,1681,"SCREEN4_PASS"
4,653,7,19201,19201,"SCREEN4_PASS"
3,6389,11,7981,7981,"SCREEN4_PASS"
6,432,2,862,862,"SCREEN4_PASS"
3,2142,20,42840,42840,"SCREEN4_PASS"
3,2162,20,43220,43220,"FAILS(screen)"
3,10000,9,5097,5097,"SCREEN4_PASS"
6,464,2,926,926,"SCREEN4_PASS"
3,2342,20,46820,46820,"SCREEN4_PASS"
4,186,16,262141,262141,"SCREEN4_PASS"
6,468,2,934,934,"SCREEN4_PASS"
3,2270,21,47670,47670,"SCREEN4_PASS"
3,2312,21,48531,48531,"FAILS(screen)"
4,3582,3,1761,1761,"SCREEN4_PASS"
6,488,2,974,974,"SCREEN4_PASS"
6,492,2,982,982,"SCREEN4_PASS"
6,500,2,998,998,"SCREEN4_PASS"
6,504,2,1008,1008,"SCREEN4_PASS"
6,510,2,1018,1018,"SCREEN4_PASS"
4,313,13,142801,142801,"SCREEN4_PASS"
6,522,2,1042,1042,"SCREEN4_PASS"
4,4382,3,1841,1841,"SCREEN4_PASS"
4,672,9,45921,45921,"SCREEN4_PASS"
4,1136,7,21601,21601,"SCREEN4_PASS"
4,514,11,87841,87841,"SCREEN4_PASS"
4,935,8,32761,32761,"SCREEN4_PASS"
5,1051,3,3156,3156,"SCREEN4_PASS"
4,2550,5,8113,8113,"SCREEN4_PASS"
5,1069,3,3210,3210,"SCREEN4_PASS"
5,1087,3,3264,3264,"SCREEN4_PASS"
5,1093,3,3282,3282,"SCREEN4_PASS"
5,1123,3,3369,3369,"SCREEN4_PASS"
5,1129,3,3390,3390,"SCREEN4_PASS"
5,1171,3,3516,3516,"SCREEN4_PASS"
5,1213,3,3642,3642,"SCREEN4_PASS"
5,1231,3,3696,3696,"SCREEN4_PASS"
5,1249,3,3750,3750,"SCREEN4_PASS"
4,1407,8,36856,36856,"SCREEN4_PASS"
5,1279,3,3840,3840,"SCREEN4_PASS"
5,1291,3,3876,3876,"SCREEN4_PASS"
5,1297,3,3891,3891,"SCREEN4_PASS"
5,1303,3,3909,3909,"SCREEN4_PASS"
4,1206,9,52481,52481,"SCREEN4_PASS"
5,1327,3,3981,3981,"SCREEN4_PASS"
5,1381,3,4143,4143,"SCREEN4_PASS"
4,2648,6,15888,15888,"SCREEN4_PASS"
4,2065,7,24001,24001,"SCREEN4_PASS"
5,1399,3,4197,4197,"SCREEN4_PASS"
5,1423,3,4269,4269,"SCREEN4_PASS"
4,3886,5,8737,8737,"SCREEN4_PASS"
4,2768,6,16608,16608,"SCREEN4_PASS"
5,1447,3,4341,4341,"SCREEN4_PASS"
5,1453,3,4359,4359,"SCREEN4_PASS"
5,1459,3,4377,4377,"SCREEN4_PASS"
5,1471,3,4413,4413,"SCREEN4_PASS"
5,1483,3,4449,4449,"SCREEN4_PASS"
5,1489,3,4467,4467,"SCREEN4_PASS"
5,1531,3,4593,4593,"SCREEN4_PASS"
4,3020,6,18114,18114,"SCREEN4_PASS"
5,1543,3,4629,4629,"SCREEN4_PASS"
5,1549,3,4647,4647,"SCREEN4_PASS"
5,1567,3,4701,4701,"SCREEN4_PASS"
5,1579,3,4737,4737,"SCREEN4_PASS"
5,1597,3,4791,4791,"SCREEN4_PASS"
5,1609,3,4827,4827,"SCREEN4_PASS"
5,1621,3,4863,4863,"SCREEN4_PASS"
5,1627,3,4881,4881,"SCREEN4_PASS"
4,3260,6,19560,19560,"SCREEN4_PASS"
4,3272,6,19626,19626,"SCREEN4_PASS"
5,1657,3,4971,4971,"SCREEN4_PASS"
5,1663,3,4989,4989,"SCREEN4_PASS"
4,3320,6,19914,19914,"SCREEN4_PASS"
5,1669,3,5007,5007,"SCREEN4_PASS"
4,3332,6,19992,19992,"SCREEN4_PASS"
4,3344,6,20058,20058,"SCREEN4_PASS"
5,1693,3,5079,5079,"SCREEN4_PASS"
5,1699,3,5097,5097,"SCREEN4_PASS"
