"t","v","k","N","Source","status","engine_class"
2,2,3,4,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,4,5,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,10,6,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,15,7,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,35,8,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,56,9,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,126,10,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,210,11,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,462,12,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,792,13,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,1716,14,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,3003,15,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,6435,16,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,11440,17,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
2,2,20000,18,"Kleitman and Spencer, or Katona","MATCH","RESOLVED"
3,2,4,8,"orthogonal array","MATCH","RESOLVED"
3,2,5,10,"Derive from strength 4","MATCH","RESOLVED"
3,2,11,12,"Derive from strength 4","MATCH","RESOLVED"
3,2,12,15,"tabu search (Nurmela)","MATCH","RESOLVED"
3,2,14,16,"Sloane","MATCH","RESOLVED"
3,2,16,17,"Derive from strength 4","MATCH","RESOLVED"
3,2,20,18,"Chateauneuf-Kreher doubling","MATCH","RESOLVED"
3,2,22,19,"Chateauneuf-Kreher doubling","MATCH","RESOLVED"
3,2,23,20,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,25,21,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,26,22,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,30,23,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,38,24,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,44,25,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,46,26,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,49,27,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,52,28,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,55,29,"SBSTT (TJ-AG)","MATCH","RESOLVED"
3,2,57,30,"SBSTT (TJ-AG)","MATCH","RESOLVED"
3,2,68,31,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,88,32,"Power CT11^2,T3c","MATCH","RESOLVED"
3,2,121,33,"Power CT11^2","MATCH","RESOLVED"
3,2,123,35,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,127,36,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,140,37,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,142,39,"SBSTT (TJ-AG)","MATCH","RESOLVED"
3,2,146,40,"SBSTT (TJ-AG)","MATCH","RESOLVED"
3,2,163,41,"SBSTT (TJ-AG)","MATCH","RESOLVED"
3,2,180,42,"SBSTT (TJ-AG)","MATCH","RESOLVED"
3,2,242,43,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,243,44,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,246,45,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,256,46,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,262,47,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,280,48,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,352,49,"Power CT11^3T7T3c","MATCH","RESOLVED"
3,2,484,50,"Power CT11^3,T7c","MATCH","RESOLVED"
3,2,605,52,"Power CT11^3,T6c","MATCH","RESOLVED"
3,2,704,53,"Power CT11^3T3T3c","MATCH","RESOLVED"
3,2,968,54,"Power CT11^3,T3c","MATCH","RESOLVED"
3,2,1331,55,"Power CT11^3","MATCH","RESOLVED"
3,2,1332,59,"Add a factor","MATCH","RESOLVED"
3,2,1452,61,"Power CT12^3,cT1T1","MATCH","RESOLVED"
3,2,1584,64,"Power CT12^3,cT1","MATCH","RESOLVED"
3,2,1712,66,"simulated annealing (TJ-RT)","MATCH","RESOLVED"
3,2,1936,67,"Power CT11^4T7T7c","MATCH","RESOLVED"
3,2,2662,68,"Power CT11^4,cT9c","MATCH","RESOLVED"
3,2,2816,70,"Power CT11^4T3cT3cT7c","MATCH","RESOLVED"
