"id","t","k","v","depth","N_recorded","N_baseline","baseline_verified","baseline_tier","N_replacement","replacement_verified","replacement_tier","N_restored","restored_verified","delta"
"DPcat 1",2,16,3,1,19,19,TRUE,"FULL",19,TRUE,"FULL",19,TRUE,0
"DPcat 2",2,20,3,1,21,21,TRUE,"FULL",21,TRUE,"FULL",21,TRUE,0
"DPcat 4",2,48,3,1,25,25,TRUE,"FULL",25,TRUE,"FULL",25,TRUE,0
"DPcat 5",2,64,3,1,27,27,TRUE,"FULL",27,TRUE,"FULL",27,TRUE,0
"DPcat 6",2,80,3,1,29,29,TRUE,"FULL",29,TRUE,"FULL",29,TRUE,0
"DPcat 7",2,144,3,1,31,31,TRUE,"FULL",31,TRUE,"FULL",31,TRUE,0
"DPcat 8",2,192,3,1,33,33,TRUE,"FULL",33,TRUE,"FULL",33,TRUE,0
"DPcat 9",2,256,3,1,35,35,TRUE,"FULL",35,TRUE,"FULL",35,TRUE,0
"DPcat 10",2,432,3,1,37,37,TRUE,"FULL",37,TRUE,"FULL",37,TRUE,0
"DPcat 11",2,576,3,1,39,39,TRUE,"FULL",39,TRUE,"FULL",39,TRUE,0
"DPcat 12",2,768,3,1,41,41,TRUE,"FULL",41,TRUE,"FULL",41,TRUE,0
"DPcat 13",2,1296,3,1,43,43,TRUE,"FULL",43,TRUE,"FULL",43,TRUE,0
"DPcat 14",2,1728,3,1,45,45,TRUE,"FULL",45,TRUE,"FULL",45,TRUE,0
"DPcat 15",2,2304,3,1,47,47,TRUE,"FULL",47,TRUE,"FULL",47,TRUE,0
"DPcat 16",2,3072,3,1,49,49,TRUE,"FULL",49,TRUE,"FULL",49,TRUE,0
"DPcat 17",2,4096,3,1,51,51,TRUE,"FULL",51,TRUE,"FULL",51,TRUE,0
"DPcat 18",2,5120,3,1,53,53,TRUE,"FULL",53,TRUE,"FULL",53,TRUE,0
"DPcat 19",2,6400,3,1,55,55,TRUE,"FULL",55,TRUE,"FULL",55,TRUE,0
"DPcat 20",2,8000,3,1,57,57,TRUE,"FULL",57,TRUE,"FULL",57,TRUE,0
"DPcat 21",2,10000,3,1,59,59,TRUE,"FULL",59,TRUE,"FULL",59,TRUE,0
"DPcat 22",2,12500,3,1,61,61,TRUE,"FULL",61,TRUE,"FULL",61,TRUE,0
"PCAcat 1",2,24,3,1,19,19,TRUE,"FULL",21,TRUE,"FULL",19,TRUE,2
"PCAcat 2",2,40,3,1,21,21,TRUE,"FULL",22,TRUE,"FULL",21,TRUE,1
"PCAcat 3",2,43,3,1,22,22,TRUE,"FULL",23,TRUE,"FULL",22,TRUE,1
"PCAcat 5",2,88,3,1,25,25,TRUE,"FULL",27,TRUE,"FULL",25,TRUE,2
"PCAcat 6",2,136,3,1,27,27,TRUE,"FULL",28,TRUE,"FULL",27,TRUE,1
"PCAcat 7",2,141,3,1,28,28,TRUE,"FULL",29,TRUE,"FULL",28,TRUE,1
"PCAcat 9",2,312,3,1,31,31,TRUE,"FULL",33,TRUE,"FULL",31,TRUE,2
"PCAcat 10",2,456,3,1,33,33,TRUE,"FULL",34,TRUE,"FULL",33,TRUE,1
"PCAcat 11",2,459,3,1,34,34,TRUE,"FULL",35,TRUE,"FULL",34,TRUE,1
"PCAcat 13",2,1080,3,1,37,37,TRUE,"FULL",39,TRUE,"FULL",37,TRUE,2
"PCAcat 14",2,1512,3,1,39,39,TRUE,"FULL",40,TRUE,"FULL",39,TRUE,1
"PCAcat 15",2,1968,3,1,41,41,TRUE,"FULL",43,TRUE,"FULL",41,TRUE,2
"PCAcat 16",2,3672,3,1,43,43,TRUE,"FULL",45,TRUE,"FULL",43,TRUE,2
"PCAcat 17",2,4968,3,1,45,45,TRUE,"FULL",46,TRUE,"FULL",45,TRUE,1
"PCAcat 18",2,6480,3,1,47,47,TRUE,"FULL",49,TRUE,"FULL",47,TRUE,2
"PCAcat 19",2,8448,3,1,49,49,TRUE,"FULL",52,TRUE,"FULL",49,TRUE,3
"PCAcat 20",2,11008,3,1,51,51,TRUE,"FULL",55,TRUE,"FULL",51,TRUE,4
"PCAcat 21",2,14336,3,1,53,53,TRUE,"FULL",58,TRUE,"FULL",53,TRUE,5
"PCAcat 22",2,18432,3,1,55,55,TRUE,"FULL",59,TRUE,"FULL",55,TRUE,4
"PCAcat 23",2,22784,3,1,57,57,TRUE,"FULL",60,TRUE,"FULL",57,TRUE,3
