"child","parent","parent_call"
"PCAcat 5","PCAcat 1","productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3))"
"PCAcat 6","PCAcat 2","productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))"
"PCAcat 7","PCAcat 3","productPCA(SCA_LCDST(5, 3), miscCA(2, 10, 3))"
"PCAcat 8","PCAcat 4","productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3))"
"PCAcat 9","PCAcat 5","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3)))"
"PCAcat 9","PCAcat 1","productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3))"
"PCAcat 10","PCAcat 6","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3)))"
"PCAcat 10","PCAcat 2","productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))"
"PCAcat 11","PCAcat 7","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 10, 3)))"
"PCAcat 11","PCAcat 3","productPCA(SCA_LCDST(5, 3), miscCA(2, 10, 3))"
"PCAcat 12","PCAcat 8","productPCA(SCA_Bose(3), productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3)))"
"PCAcat 12","PCAcat 4","productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3))"
"PCAcat 13","PCAcat 9","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), SCA_LCDST(5,     3))))"
"PCAcat 13","PCAcat 5","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3)))"
"PCAcat 13","PCAcat 1","productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3))"
"PCAcat 14","PCAcat 10","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2,     9, 3))))"
"PCAcat 14","PCAcat 6","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3)))"
"PCAcat 14","PCAcat 2","productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))"
"PCAcat 15","PCAcat 10","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2,     9, 3))))"
"PCAcat 15","PCAcat 6","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3)))"
"PCAcat 15","PCAcat 2","productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))"
"PCAcat 16","PCAcat 13","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5,     3), SCA_LCDST(5, 3)))))"
"PCAcat 16","PCAcat 9","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), SCA_LCDST(5,     3))))"
"PCAcat 16","PCAcat 5","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3)))"
"PCAcat 16","PCAcat 1","productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3))"
"PCAcat 17","PCAcat 14","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5,     3), miscCA(2, 9, 3)))))"
"PCAcat 17","PCAcat 10","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2,     9, 3))))"
"PCAcat 17","PCAcat 6","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3)))"
"PCAcat 17","PCAcat 2","productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))"
