"catalogue","cat_row","t","v","k","N","canon_code"
"DPcat",1,2,3,16,19,"productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3)"
"DPcat",2,2,3,20,21,"productCA(SCA_LCDST(5, 3)[, 1:4], CS_CMMSSY(6, 3)[, 1:5], c1 = 3)"
"DPcat",3,2,3,25,23,"productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6, 3)[, 1:5], c1 = 3)"
"DPcat",4,2,3,48,25,"productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4],      SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3)"
"DPcat",5,2,3,64,27,"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,      1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3)"
"DPcat",6,2,3,80,29,"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,      1:4], CS_CMMSSY(6, 3)[, 1:5], c1 = 3), c1 = 3)"
"DPcat",7,2,3,144,31,"productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5,      3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), c1 = 3)"
"DPcat",8,2,3,192,33,"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_Bose(3)[, 1:3],      productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4],          c1 = 3), c1 = 3), c1 = 3)"
"DPcat",9,2,3,256,35,"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,      1:4], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[,      1:4], c1 = 3), c1 = 3), c1 = 3)"
"DPcat",10,2,3,432,37,"productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[,      1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[,      1:4], c1 = 3), c1 = 3), c1 = 3), c1 = 3)"
