"call","N","k","v_min","v_max","nNA","status"
"SCA_LCDST(5, 3)",11,5,3,3,0,"ok"
"CS_CMMSSY(6, 3)",13,6,3,3,0,"ok"
"SCA_Bose(3)",9,4,3,3,0,"ok"
"productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3)",19,16,3,3,0,"ok"
"productCA(SCA_LCDST(5, 3)[, 1:4], CS_CMMSSY(6, 3)[, 1:5], 3)",21,20,3,3,0,"ok"
"productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3)",25,48,3,3,0,"ok"
"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3)",27,64,3,3,0,"ok"
"productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4],     SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), 3)",31,144,3,3,0,"ok"
"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4],     SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), 3)",33,192,3,3,0,"ok"
"productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5,     3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), c1 = 3), 3)",37,432,3,3,0,"ok"
"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5,     3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), c1 = 3), 3)",39,576,3,3,0,"ok"
"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_Bose(3)[, 1:3],     productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4],         c1 = 3), c1 = 3), c1 = 3), 3)",41,768,3,3,0,"ok"
"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,     1:4], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[,     1:4], c1 = 3), c1 = 3), c1 = 3), 3)",43,1024,3,3,0,"ok"
"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,     1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), 3)",35,256,3,3,0,"ok"
"productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,     1:4], productCA(SCA_LCDST(5, 3)[, 1:4], CS_CMMSSY(6, 3)[,     1:5], c1 = 3), c1 = 3), c1 = 3), 3)",45,1280,3,3,0,"ok"
