"t","k","v","N_snapshot","N_built","verified","size_ok","note","mode"
4,144,2,112,112,TRUE,TRUE,"EXECUTED_POSTFIX","FULL"
3,1584,2,64,64,TRUE,TRUE,"EXECUTED_POSTFIX","FULL"
4,1331,2,200,200,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w40"
6,361,3,52614,52614,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
6,361,3,52614,52614,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
6,361,3,52614,52614,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
6,729,3,71204,71204,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
6,754,3,74399,74399,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
6,756,3,74402,74402,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
6,783,3,74528,74528,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
6,784,3,74553,74553,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
6,812,3,74679,74679,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
6,841,3,74805,74805,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w25"
5,9898,2,1394,1394,NA,TRUE,"SCREEN4_PASS_POSTFIX","SCREEN4_w30"
