"catalogue","row","construction","n_ingredients","ingredients","code"
"DPcat",1,"productCA",2,"SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productCA(SCA_LCDST(5, 3)[,1:4], SCA_LCDST(5, 3)[,1:4], c1=3)"
"DPcat",2,"productCA",2,"SCA_LCDST(5, 3) ||| CS_CMMSSY(6, 3)","productCA(SCA_LCDST(5, 3)[,1:4], CS_CMMSSY(6, 3)[,1:5], c1=3)"
"DPcat",3,"productCA",2,"CS_CMMSSY(6, 3) ||| CS_CMMSSY(6, 3)","productCA(CS_CMMSSY(6, 3)[,1:5], CS_CMMSSY(6, 3)[,1:5], c1=3)"
"DPcat",4,"productCA",4,"SCA_Bose(3) ||| productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3) ||| SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productCA(SCA_Bose(3)[,1:3], productCA(SCA_LCDST(5, 3)[,1:4], SCA_LCDST(5, 3)[,1:4], c1=3), c1=3)"
"DPcat",5,"productCA",4,"SCA_LCDST(5, 3) ||| productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3) ||| SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productCA(SCA_LCDST(5, 3)[,1:4], productCA(SCA_LCDST(5, 3)[,1:4], SCA_LCDST(5, 3)[,1:4], c1=3), c1=3)"
"DPcat",6,"productCA",4,"SCA_LCDST(5, 3) ||| productCA(SCA_LCDST(5, 3)[, 1:4], CS_CMMSSY(6, 3)[, 1:5], 3) ||| SCA_LCDST(5, 3) ||| CS_CMMSSY(6, 3)","productCA(SCA_LCDST(5, 3)[,1:4], productCA(SCA_LCDST(5, 3)[,1:4], CS_CMMSSY(6, 3)[,1:5], c1=3), c1=3)"
"DPcat",7,"productCA",6,"SCA_Bose(3) ||| productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3) ||| SCA_Bose(3) ||| productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3) ||| SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productCA(SCA_Bose(3)[,1:3], productCA(SCA_Bose(3)[,1:3], productCA(SCA_LCDST(5, 3)[,1:4], SCA_LCDST(5, 3)[,1:4], c1=3), c1=3), c1=3)"
"DPcat",8,"productCA",6,"SCA_LCDST(5, 3) ||| productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3) ||| SCA_Bose(3) ||| productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3) ||| SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productCA(SCA_LCDST(5, 3)[,1:4], productCA(SCA_Bose(3)[,1:3], productCA(SCA_LCDST(5, 3)[,1:4], SCA_LCDST(5, 3)[,1:4], c1=3), c1=3), c1=3)"
"DPcat",9,"productCA",6,"SCA_LCDST(5, 3) ||| productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3) ||| SCA_LCDST(5, 3) ||| productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3) ||| SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productCA(SCA_LCDST(5, 3)[,1:4], productCA(SCA_LCDST(5, 3)[,1:4], productCA(SCA_LCDST(5, 3)[,1:4], SCA_LCDST(5, 3)[,1:4], c1=3), c1=3), c1=3)"
"DPcat",10,"productCA",8,"SCA_Bose(3) ||| productCA(SCA_Bose(3)[, 1:3], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4],     SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), 3) ||| SCA_Bose(3) ||| productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3) ||| SCA_Bose(3) ||| productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3) ||| SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productCA(SCA_Bose(3)[,1:3], productCA(SCA_Bose(3)[,1:3], productCA(SCA_Bose(3)[,1:3], productCA(SCA_LCDST(5, 3)[,1:4], SCA_LCDST(5, 3)[,1:4], c1=3), c1=3), c1=3), c1=3)"
