"id","N_book","N_base","N_swap"
"DPcat 1",19,19,19
"DPcat 2",21,21,21
"DPcat 3",23,23,23
"DPcat 4",25,25,25
"DPcat 5",27,27,27
"DPcat 6",29,29,29
"DPcat 7",31,31,31
"DPcat 8",33,33,33
"DPcat 9",35,35,35
"DPcat 10",37,37,37
"DPcat 11",39,39,39
"DPcat 12",41,41,41
"DPcat 13",43,43,43
"DPcat 14",45,45,45
"DPcat 15",47,47,47
"DPcat 16",49,49,49
"DPcat 17",51,51,51
"DPcat 18",53,53,53
"DPcat 19",55,55,55
"DPcat 20",57,57,57
"DPcat 21",59,59,59
"DPcat 22",61,61,61
"DPcat 23",63,63,63
"DPcat 24",65,65,65
"DPcat 25",67,67,67
"DPcat 26",34,34,34
"DPcat 27",36,36,36
"DPcat 28",38,38,38
"DPcat 29",40,40,40
"DPcat 30",42,42,42
"DPcat 31",43,43,43
"DPcat 32",45,45,45
"DPcat 33",46,46,46
"DPcat 34",48,48,48
"DPcat 35",50,50,50
"DPcat 36",52,52,52
"DPcat 37",53,53,53
"DPcat 38",54,54,54
"DPcat 39",55,55,55
"DPcat 40",56,56,56
"DPcat 41",57,57,57
"DPcat 42",58,58,58
"DPcat 43",60,60,60
"DPcat 44",62,62,62
"DPcat 45",64,64,64
"DPcat 46",65,65,65
"DPcat 47",66,66,66
"DPcat 48",67,67,67
"DPcat 49",68,67,67
"DPcat 50",69,69,69
"DPcat 51",70,70,70
"DPcat 52",71,71,71
"DPcat 53",72,72,72
"DPcat 54",74,74,74
"DPcat 55",76,76,76
"DPcat 56",77,77,77
"DPcat 57",78,78,78
"DPcat 58",79,79,79
"DPcat 59",80,79,79
"DPcat 60",81,81,81
"DPcat 61",82,82,82
"DPcat 62",83,82,82
"DPcat 63",84,84,84
"DPcat 64",86,86,86
"DPcat 65",88,88,88
"DPcat 66",89,89,89
"DPcat 67",90,90,90
"DPcat 68",91,91,91
"DPcat 69",92,91,91
"DPcat 70",45,45,45
"DPcat 71",49,49,49
"DPcat 72",50,50,50
"DPcat 73",53,53,53
"DPcat 74",54,54,54
"DPcat 75",55,55,55
"DPcat 76",59,59,59
"DPcat 77",60,60,60
"DPcat 78",65,65,65
"DPcat 79",69,69,69
"DPcat 80",70,70,70
"DPcat 81",73,73,73
"DPcat 82",74,74,74
"DPcat 83",75,75,75
"DPcat 84",78,78,78
"DPcat 85",79,79,79
"DPcat 86",80,80,80
"DPcat 87",81,80,80
"DPcat 88",84,84,84
"DPcat 89",85,85,85
"DPcat 90",89,89,89
"DPcat 91",90,90,90
"DPcat 92",93,93,93
"DPcat 93",94,94,94
"DPcat 94",95,95,95
"DPcat 95",98,98,98
"DPcat 96",99,99,99
"DPcat 97",100,100,100
"DPcat 98",101,100,100
"DPcat 99",103,103,103
"DPcat 100",104,104,104
"DPcat 101",105,105,105
"DPcat 102",109,109,109
"DPcat 103",110,110,110
"DPcat 104",113,113,113
"DPcat 105",114,114,114
"DPcat 106",115,115,115
"DPcat 107",118,118,118
"DPcat 108",119,119,119
"DPcat 109",120,120,120
"DPcat 110",121,120,120
"DPcat 111",123,123,123
"DPcat 112",124,124,124
"DPcat 113",125,125,125
"DPcat 114",129,129,129
"DPcat 115",130,130,130
"DPcat 116",66,66,66
"DPcat 117",67,67,67
"DPcat 118",68,68,68
"DPcat 119",70,70,70
"DPcat 120",72,72,72
"DPcat 121",74,74,74
"DPcat 122",76,76,76
"DPcat 123",79,79,79
"DPcat 124",81,81,81
"DPcat 125",86,86,86
"DPcat 126",91,91,91
"DPcat 127",96,96,96
"DPcat 128",101,101,101
"DPcat 129",103,103,103
"DPcat 130",105,105,105
"DPcat 131",107,107,107
"DPcat 132",109,109,109
"DPcat 133",111,111,111
"DPcat 134",114,114,114
"DPcat 135",116,116,116
"DPcat 136",119,119,119
"DPcat 137",121,121,121
"DPcat 138",126,126,126
"DPcat 139",131,131,131
"DPcat 140",136,136,136
"DPcat 141",140,140,140
"DPcat 142",142,142,142
"DPcat 143",144,144,144
"DPcat 144",146,146,146
"DPcat 145",149,149,149
"DPcat 146",151,151,151
"DPcat 147",154,154,154
"DPcat 148",156,156,156
"DPcat 149",159,159,159
"DPcat 150",161,161,161
"DPcat 151",166,166,166
"DPcat 152",171,171,171
"DPcat 153",176,176,176
"DPcat 154",177,177,177
"DPcat 155",179,179,179
"DPcat 156",181,181,181
"DPcat 157",184,184,184
"DPcat 158",186,186,186
"DPcat 159",189,189,189
"DPcat 160",191,191,191
"DPcat 161",194,194,194
"DPcat 162",196,196,196
"DPcat 163",199,199,199
"DPcat 164",91,91,91
"DPcat 165",103,103,103
"DPcat 166",109,109,109
"DPcat 167",115,115,115
"DPcat 168",121,121,121
"DPcat 169",127,127,127
"DPcat 170",133,133,133
"DPcat 171",145,145,145
"DPcat 172",151,151,151
"DPcat 173",157,157,157
"DPcat 174",163,163,163
"DPcat 175",169,169,169
"DPcat 176",175,175,175
"DPcat 177",187,187,187
"DPcat 178",193,193,193
"DPcat 179",199,199,199
"DPcat 180",205,205,205
"DPcat 181",211,211,211
"DPcat 182",217,217,217
"DPcat 183",229,229,229
"DPcat 184",148,148,148
"DPcat 185",155,155,155
"DPcat 186",162,162,162
"DPcat 187",169,169,169
"DPcat 188",176,176,176
"DPcat 189",183,183,183
"DPcat 190",190,190,190
"DPcat 191",197,197,197
"DPcat 192",204,204,204
"DPcat 193",211,211,211
"DPcat 194",218,218,218
"DPcat 195",225,225,225
"DPcat 196",232,232,232
"DPcat 197",239,239,239
"DPcat 198",246,246,246
"DPcat 199",253,253,253
"DPcat 200",260,260,260
"DPcat 201",267,267,267
"DPcat 202",274,274,274
"DPcat 203",281,281,281
"DPcat 204",288,288,288
"DPcat 205",295,295,295
"DPcat 206",302,302,302
"DPcat 207",309,309,309
"DPcat 208",316,316,316
"DPcat 209",201,201,201
"DPcat 210",209,209,209
"DPcat 211",217,217,217
"DPcat 212",225,225,225
"DPcat 213",233,233,233
"DPcat 214",241,241,241
"DPcat 215",249,249,249
"DPcat 216",257,257,257
"DPcat 217",265,265,265
"DPcat 218",273,273,273
"DPcat 219",281,281,281
"DPcat 220",289,289,289
"DPcat 221",297,297,297
"DPcat 222",305,305,305
"DPcat 223",313,313,313
"DPcat 224",321,321,321
"DPcat 225",329,329,329
"DPcat 226",337,337,337
"DPcat 227",345,345,345
"DPcat 228",353,353,353
"DPcat 229",361,361,361
"DPcat 230",369,369,369
"DPcat 231",377,377,377
"DPcat 232",385,385,385
"DPcat 233",393,393,393
"DPcat 234",190,190,190
"DPcat 235",226,226,226
"DPcat 236",235,235,235
"DPcat 237",244,244,244
"DPcat 238",253,253,253
"DPcat 239",262,262,262
"DPcat 240",271,271,271
"DPcat 241",280,280,280
"DPcat 242",289,289,289
"DPcat 243",298,298,298
"DPcat 244",307,307,307
"DPcat 245",316,316,316
"DPcat 246",325,325,325
"DPcat 247",334,334,334
"DPcat 248",343,343,343
"DPcat 249",352,352,352
"DPcat 250",361,361,361
"DPcat 251",370,370,370
"DPcat 252",379,379,379
"DPcat 253",388,388,388
"DPcat 254",397,397,397
"DPcat 255",406,406,406
"DPcat 256",415,415,415
"DPcat 257",424,424,424
"DPcat 258",433,433,433
"DPcat 259",442,442,442
"DPcat 260",451,451,451
"DPcat 261",460,460,460
"DPcat 262",469,469,469
"DPcat 263",478,478,478
"DPcat 264",487,487,487
"DPcat 265",496,496,496
"DPcat 266",505,505,505
"DPcat 267",514,514,514
"DPcat 268",311,311,311
"DPcat 269",321,321,321
"DPcat 270",331,331,331
"DPcat 271",341,341,341
"DPcat 272",351,351,351
"DPcat 273",361,361,361
"DPcat 274",371,371,371
"DPcat 275",381,381,381
"DPcat 276",391,391,391
"DPcat 277",401,401,401
"DPcat 278",411,411,411
"DPcat 279",421,421,421
"DPcat 280",431,431,431
"DPcat 281",441,441,441
"DPcat 282",451,451,451
"DPcat 283",461,461,461
"DPcat 284",471,471,471
"DPcat 285",481,481,481
"DPcat 286",491,491,491
"DPcat 287",501,501,501
"DPcat 288",511,511,511
"DPcat 289",521,521,521
"DPcat 290",531,531,531
"DPcat 291",276,276,276
"DPcat 292",331,331,331
"DPcat 293",342,342,342
"DPcat 294",353,353,353
"DPcat 295",364,364,364
"DPcat 296",375,375,375
"DPcat 297",386,386,386
"DPcat 298",397,397,397
"DPcat 299",408,408,408
"DPcat 300",430,430,430
"DPcat 301",441,441,441
"DPcat 302",452,452,452
"DPcat 303",463,463,463
"DPcat 304",474,474,474
"DPcat 305",485,485,485
"DPcat 306",496,496,496
"DPcat 307",507,507,507
"DPcat 308",518,518,518
"DPcat 309",529,529,529
"DPcat 310",540,540,540
"DPcat 311",562,562,562
"DPcat 312",573,573,573
"DPcat 313",584,584,584
"DPcat 314",595,595,595
"DPcat 315",606,606,606
"DPcat 316",617,617,617
"DPcat 317",628,628,628
"DPcat 318",639,639,639
"DPcat 319",650,650,650
"DPcat 320",661,661,661
"DPcat 321",672,672,672
"DPcat 322",674,672,672
"DPcat 323",694,694,694
"DPcat 324",705,705,705
"DPcat 325",421,421,421
"DPcat 326",433,433,433
"DPcat 327",445,445,445
"DPcat 328",457,457,457
"DPcat 329",469,469,469
"DPcat 330",481,481,481
"DPcat 331",493,493,493
"DPcat 332",505,505,505
"DPcat 333",517,517,517
"DPcat 334",529,529,529
"DPcat 335",541,541,541
"DPcat 336",553,553,553
"DPcat 337",565,565,565
"DPcat 338",577,577,577
"DPcat 339",589,589,589
"DPcat 340",601,601,601
"DPcat 341",613,613,613
"DPcat 342",625,625,625
"DPcat 343",637,637,637
"DPcat 344",649,649,649
"DPcat 345",661,661,661
"DPcat 346",673,673,673
"DPcat 347",685,685,685
"DPcat 348",697,697,697
"DPcat 349",709,709,709
