t,v,k,N,tier,source_id,source_detail,snapshot_id,array_sha256,verify_stamp,entered,notes,lb,lb_evidence
2,2,3,4,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,4,5,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,10,6,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,15,7,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,35,8,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,56,9,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,126,10,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,210,11,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,462,12,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,792,13,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,1716,14,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,3003,15,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,6435,16,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,11440,17,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
2,2,20000,18,CITED,S1,"Kleitman and Spencer, or Katona",colbourn-2024-11-ug,,,2026-08-23,,,
3,2,4,8,CITED,S1,orthogonal array,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,5,10,CITED,S1,Derive from strength 4,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,11,12,CITED,S1,Derive from strength 4,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,12,15,CITED,S1,tabu search (Nurmela),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,14,16,CITED,S1,Sloane,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,16,17,CITED,S1,Derive from strength 4,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,20,18,CITED,S1,Chateauneuf-Kreher doubling,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,22,19,CITED,S1,Chateauneuf-Kreher doubling,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,23,20,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,25,21,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,26,22,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,30,23,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,38,24,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,44,25,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,46,26,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,49,27,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,52,28,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,55,29,CITED,S1,SBSTT (TJ-AG),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,57,30,CITED,S1,SBSTT (TJ-AG),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,68,31,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,88,32,CITED,S1,"Power CT11^2,T3c",colbourn-2024-11-ug,,,2026-08-23,,,
3,2,121,33,CITED,S1,Power CT11^2,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,123,35,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,127,36,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,140,37,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,142,39,CITED,S1,SBSTT (TJ-AG),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,146,40,CITED,S1,SBSTT (TJ-AG),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,163,41,CITED,S1,SBSTT (TJ-AG),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,180,42,CITED,S1,SBSTT (TJ-AG),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,242,43,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,243,44,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,246,45,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,256,46,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,262,47,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,280,48,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,352,49,CITED,S1,Power CT11^3T7T3c,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,484,50,CITED,S1,"Power CT11^3,T7c",colbourn-2024-11-ug,,,2026-08-23,,,
3,2,605,52,CITED,S1,"Power CT11^3,T6c",colbourn-2024-11-ug,,,2026-08-23,,,
3,2,704,53,CITED,S1,Power CT11^3T3T3c,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,968,54,CITED,S1,"Power CT11^3,T3c",colbourn-2024-11-ug,,,2026-08-23,,,
3,2,1331,55,CITED,S1,Power CT11^3,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,1332,59,CITED,S1,Add a factor,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,1452,61,CITED,S1,"Power CT12^3,cT1T1",colbourn-2024-11-ug,,,2026-08-23,,,
3,2,1584,64,CITED,S1,"Power CT12^3,cT1",colbourn-2024-11-ug,,,2026-08-23,,,
3,2,1712,66,CITED,S1,simulated annealing (TJ-RT),colbourn-2024-11-ug,,,2026-08-23,,,
3,2,1936,67,CITED,S1,Power CT11^4T7T7c,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,2662,68,CITED,S1,"Power CT11^4,cT9c",colbourn-2024-11-ug,,,2026-08-23,,,
3,2,2816,70,CITED,S1,Power CT11^4T3cT3cT7c,colbourn-2024-11-ug,,,2026-08-23,,,
3,2,3872,71,CITED,S1,Power CT11^4T7T3c,colbourn-2024-11-ug,,,2026-08-23,,,
